################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      4366944
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               1028
# Dim_2                               1062
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                4366944
# Center_1                            607.5200
# Center_2                            651.5500
# Comment                             Xenocs_Cell_Window - 20251028_20perc_iodine_1.23mg
# DDummy                              0.6
# Date                                2025-10-30T13:46:29
# Delta                               0
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               0
# Intensity1                          8.44998e-10
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0326328
# SampleDistance                      0.450002
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.434
# beamx_dial                          588.434
# beamz                               657.808
# beamz_dial                          657.808
# det0x                               0
# det0x_dial                          6.36945
# det0xvd                             0
# det0xvd_dial                        0
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.23302
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7355
# waxsh                               137.085
# waxsh_dial                          -43.5338
# waxsth                              26.0607
# waxsth_dial                         -19.4086
# waxsz                               67.0407
# waxsz_dial                          -23.7954
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         15302352
# DetectorModel                       Dectris EIGER2 Si 1M, S/N E-02-0362
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.04199e+08
# TransmittedFlux                     844998
# det                                 0
# mon                                 0
# pilai0                              3.04199e+08
# pilai1                              775289
# pilct0                              5.2672e+08
# pilct1                              775289
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251028_20perc_iodine_1.23mg_0_00431.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['20251028_20perc_iodine_1.23mg_0_00012_mask.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.000340                372045.933                121.146745           
       0.001019                359021.759                72.8768348           
       0.001698                349911.028                50.8736583           
       0.002377                330892.143                44.2488945           
       0.003056                308028.658                36.0820175           
       0.003735                253358.522                28.8596371           
       0.004415                204738.517                25.9431667           
       0.005094                153069.626                 19.426675           
       0.005773                101187.897                 14.623287           
       0.006452                58937.8306                10.6931844           
       0.007131                32340.5629                7.67347688           
       0.007810                16264.9845                5.40045224           
       0.008490                8145.73422                3.38766894           
       0.009169                3958.62306                2.33398779           
       0.009848                1218.29584                1.25186776           
       0.010527                470.220766               0.777737857           
       0.011206                117.582613                0.37118242           
       0.011885                54.2451023               0.234241683           
       0.012564                25.1841986               0.163862565           
       0.013244                17.1502139                0.12641844           
       0.013923                12.3287792               0.108914413           
       0.014602                9.47645793              0.0885591139           
       0.015281                7.45673179              0.0799674741           
       0.015960                6.17473397              0.0722477241           
       0.016639                4.89788803              0.0607622843           
       0.017319                4.15213076              0.0550754373           
       0.017998                3.37139685              0.0474786919           
       0.018677                2.90217326              0.0456247633           
       0.019356                2.49024369              0.0417598553           
       0.020035                2.11580816              0.0361134901           
       0.020714                1.89443883              0.0345337584           
       0.021394                1.59409558              0.0299730256           
       0.022073                1.45525445              0.0297956068           
       0.022752                1.24151638              0.0263264633           
       0.023431                1.16294221              0.0247327641           
       0.024110                1.04149924              0.0244022444           
       0.024789               0.896461732              0.0210255019           
       0.025469               0.797094454              0.0204308981           
       0.026148                 0.7220611                0.01827067           
       0.026827               0.695776849              0.0182220548           
       0.027506               0.606913383              0.0172640921           
       0.028185               0.517712838              0.0152058663           
       0.028864               0.508294699              0.0149823797           
       0.029544               0.461130733              0.0138382383           
       0.030223               0.438429222              0.0136867984           
       0.030902               0.416591153              0.0134636673           
       0.031581               0.351981423              0.0117644126           
       0.032260               0.347385517              0.0118864957           
       0.032939                0.32994437              0.0111697522           
       0.033619               0.302316198               0.010849011           
       0.034298               0.279637144              0.0101541144           
       0.034977               0.277010335             0.00990769955           
       0.035656               0.223640164             0.00913785552           
       0.036335                0.21337041             0.00865669472           
       0.037014               0.212976385             0.00867449594           
       0.037693               0.181637684             0.00770638366           
       0.038373               0.179561441             0.00773740486           
       0.039052               0.159854942             0.00733154803           
       0.039731               0.170795796             0.00740168197           
       0.040410               0.145969141             0.00679674246           
       0.041089               0.154930914             0.00689259199           
       0.041768               0.139434846             0.00657297928           
       0.042448               0.122977302             0.00612499896           
       0.043127                0.13495885             0.00626489821           
       0.043806               0.115058743             0.00582772877           
       0.044485               0.122606608             0.00589225699           
       0.045164               0.122765355             0.00601227651           
       0.045843                0.11218186              0.0055123385           
       0.046523              0.0998420062             0.00521829116           
       0.047202               0.111546917             0.00555424037           
       0.047881              0.0952085501             0.00503242131           
       0.048560              0.0977554516             0.00514576642           
       0.049239               0.101610779             0.00503735236           
       0.049918              0.0937181494             0.00493233279           
       0.050598               0.089673852             0.00475234834           
       0.051277              0.0841168362              0.0045881386           
       0.051956              0.0839600408             0.00455507541           
       0.052635              0.0804188701             0.00436337357           
       0.053314              0.0804596077             0.00449208295           
       0.053993              0.0751736285             0.00422292826           
       0.054673              0.0707332729             0.00400506262           
       0.055352              0.0685437851             0.00400049959           
       0.056031              0.0724270215             0.00402585505           
       0.056710              0.0682628107             0.00400418339           
       0.057389              0.0730973536             0.00399567211           
       0.058068              0.0643465741             0.00378752637           
