File	Integrated_Intensity	Mean_q(nm^-1)	Invariant	Capacity(mAh/g)	Potential(V)
3	2.5184e-02	1.8864	1.0195e-01	36.7570	2.4215
4	2.4559e-02	1.9035	1.0113e-01	55.1354	2.1149
5	2.4553e-02	1.8968	1.0036e-01	73.5139	1.9157
6	2.4108e-02	1.9037	9.9371e-02	91.8924	1.8260
7	2.4009e-02	1.9108	9.9564e-02	110.2708	1.8299
8	2.3891e-02	1.8999	9.8042e-02	128.6493	1.8403
9	2.3635e-02	1.9144	9.8167e-02	147.0278	1.8484
10	2.3739e-02	1.9230	9.9682e-02	165.4063	1.8547
11	2.3702e-02	1.9147	9.8619e-02	183.7847	1.8593
12	2.3877e-02	1.9300	1.0090e-01	201.9306	1.8629
13	2.3537e-02	1.9245	9.9028e-02	220.3090	1.8656
14	2.3870e-02	1.9267	1.0055e-01	238.6875	1.8676
15	2.3358e-02	1.9325	9.8945e-02	256.8333	1.8692
16	2.3290e-02	1.9211	9.7635e-02	275.2118	1.8703
17	2.3609e-02	1.9259	9.9529e-02	293.5903	1.8711
18	2.3267e-02	1.9287	9.8178e-02	311.9688	1.8716
19	2.3153e-02	1.9312	9.8056e-02	330.3472	1.8722
20	2.3115e-02	1.9398	9.8771e-02	348.7257	1.8722
21	2.3127e-02	1.9343	9.8183e-02	367.1042	1.8723
22	2.2974e-02	1.9423	9.8119e-02	385.4827	1.8722
23	2.3089e-02	1.9405	9.8371e-02	404.0938	1.8720
24	2.3223e-02	1.9372	9.8884e-02	422.2396	1.8719
25	2.2691e-02	1.9467	9.7566e-02	440.8507	1.8716
26	2.3085e-02	1.9440	9.8950e-02	459.2292	1.8711
27	2.2937e-02	1.9473	9.8640e-02	477.6076	1.8708
28	2.2874e-02	1.9558	9.9250e-02	495.9861	1.8703
29	2.2754e-02	1.9513	9.8227e-02	514.3646	1.8696
30	2.2738e-02	1.9544	9.8449e-02	532.7431	1.8692
31	2.2418e-02	1.9503	9.6574e-02	551.1215	1.8685
32	2.1924e-02	1.9591	9.5166e-02	569.5000	1.8679
33	2.2103e-02	1.9531	9.5570e-02	588.1111	1.8672
34	2.2401e-02	1.9703	9.8453e-02	606.4896	1.8666
35	2.2103e-02	1.9589	9.6050e-02	624.8681	1.8658
36	2.1837e-02	1.9691	9.5703e-02	643.2465	1.8649
37	2.2009e-02	1.9706	9.6832e-02	661.6250	1.8644
38	2.1620e-02	1.9803	9.5853e-02	680.0035	1.8634
39	2.1802e-02	1.9707	9.5697e-02	698.3820	1.8628
40	2.1714e-02	1.9646	9.4766e-02	716.9931	1.8619
41	2.1454e-02	1.9844	9.5472e-02	735.3715	1.8610
42	2.1526e-02	1.9840	9.5781e-02	753.7500	1.8602
43	2.1347e-02	1.9842	9.4946e-02	772.1285	1.8594
44	2.1271e-02	1.9733	9.3671e-02	790.5070	1.8584
45	2.1080e-02	1.9880	9.4067e-02	808.8854	1.8575
46	2.0943e-02	1.9803	9.2630e-02	827.2639	1.8567
47	2.0662e-02	1.9869	9.2286e-02	845.6424	1.8557
48	2.1118e-02	1.9820	9.3821e-02	864.0208	1.8547
49	2.0827e-02	1.9962	9.3605e-02	882.3993	1.8538
