################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      4366944
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               1028
# Dim_2                               1062
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                4366944
# Center_1                            607.5320
# Center_2                            651.4720
# Comment                             Xenocs_Cell_Window - front_window_open_only
# DDummy                              0.6
# Date                                2025-10-17T18:08:18
# Delta                               0
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               0
# Intensity1                          1.00179e-09
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0542412
# SampleDistance                      0.450002
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.429
# beamx_dial                          588.429
# beamz                               657.855
# beamz_dial                          657.855
# det0x                               -0.000396875
# det0x_dial                          6.36905
# det0xvd                             -0.0005
# det0xvd_dial                        -0.0005
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.2295
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7238
# waxsh                               137.085
# waxsh_dial                          -43.5335
# waxsth                              26.0607
# waxsth_dial                         -19.4068
# waxsz                               67.0407
# waxsz_dial                          -23.7962
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         15302352
# DetectorModel                       Dectris EIGER2 Si 1M, S/N E-02-0362
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.60645e+08
# TransmittedFlux                     1.00179e+06
# det                                 0
# mon                                 0
# pilai0                              3.60645e+08
# pilai1                              778041
# pilct0                              6.17819e+08
# pilct1                              778041
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251017__0_00000.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['SAXS_correted.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.000340                355016.325                108.686881           
       0.001019                 351800.78                66.2547485           
       0.001698                348121.894                 46.603584           
       0.002377                331104.782                40.6519534           
       0.003056                300091.921                32.7085956           
       0.003735                260142.428                26.8576615           
       0.004415                203295.662                23.7425171           
       0.005094                150821.938                17.7102918           
       0.005773                98750.1332                13.2674988           
       0.006452                58725.3731                9.88443072           
       0.007131                31606.5587                7.02122983           
       0.007810                15775.1661                4.88460851           
       0.008490                8184.77528                3.11873672           
       0.009169                3145.55156                1.91079633           
       0.009848                1234.11552                1.15093795           
       0.010527                350.248817               0.616467472           
       0.011206                121.507162                0.34316134           
       0.011885                 50.231994               0.208813046           
       0.012564                25.8047447               0.150319052           
       0.013244                17.6494414               0.118248932           
       0.013923                12.9875298               0.103086248           
       0.014602                9.92617606              0.0829521222           
       0.015281                 7.9181998              0.0762363212           
       0.015960                6.30878074              0.0673106637           
       0.016639                5.27817082              0.0575654821           
       0.017319                4.30272944               0.051176378           
       0.017998                3.64888255              0.0457535985           
       0.018677                3.17800359              0.0439820723           
       0.019356                2.73996548              0.0401115081           
       0.020035                2.32480253              0.0347667303           
       0.020714                1.99632828              0.0326450356           
       0.021394                1.75598993              0.0288232089           
       0.022073                1.56051306              0.0284843433           
       0.022752                1.37026677              0.0252235987           
       0.023431                 1.2258151               0.023320914           
       0.024110                1.11727132              0.0232686227           
       0.024789               0.977973301              0.0202962093           
       0.025469               0.879692983              0.0197123144           
       0.026148               0.821459364              0.0180393026           
       0.026827               0.732502827              0.0171714315           
       0.027506               0.689151414              0.0172203403           
       0.028185               0.620003017              0.0156410448           
       0.028864               0.589659701              0.0150467927           
       0.029544               0.548036557              0.0142085843           
       0.030223               0.476504825              0.0136851094           
       0.030902               0.452228958              0.0137728237           
       0.031581                0.42254737              0.0124763102           
       0.032260               0.384598202              0.0124176071           
       0.032939                0.36751606              0.0121631802           
       0.033619               0.347861208              0.0122611937           
       0.034298               0.318894702              0.0113760825           
       0.034977               0.321577376              0.0113320977           
       0.035656               0.293429949              0.0113599858           
       0.036335               0.258347733              0.0103882602           
       0.037014               0.243604612              0.0106356479           
       0.037693               0.239289742              0.0102586577           
       0.038373               0.228484258              0.0104722239           
       0.039052               0.219204732              0.0100890254           
       0.039731               0.208026053              0.0101649519           
       0.040410               0.212220152              0.0102669358           
       0.041089               0.192777923              0.0102274275           
       0.041768               0.163001271             0.00990123218           
       0.042448               0.173714607             0.00950421951           
       0.043127               0.177323411              0.0100294419           
       0.043806               0.172752376              0.0103182422           
       0.044485               0.139144873             0.00888443134           
       0.045164               0.158326667              0.0100341536           
       0.045843               0.147188118             0.00893680476           
       0.046523               0.146564082             0.00917054544           
       0.047202               0.145528196             0.00958964083           
       0.047881               0.134128943             0.00912025125           
       0.048560               0.157000795              0.0100241692           
       0.049239               0.134205651             0.00880082691           
       0.049918               0.113154887             0.00908110787           
       0.050598               0.120402995             0.00880676781           
       0.051277               0.112782237             0.00828635527           
       0.051956                 0.1142951             0.00926306029           
       0.052635               0.117298414             0.00960311483           
       0.053314              0.0999065112             0.00838150485           
       0.053993               0.106211338             0.00903201126           
       0.054673              0.0928960473             0.00813966994           
       0.055352               0.106445872             0.00922110815           
       0.056031                0.10390094             0.00907401723           
       0.056710              0.0872267276             0.00831411638           
       0.057389               0.109492724             0.00931505654           
