################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      4366944
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               1028
# Dim_2                               1062
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                4366944
# Center_1                            607.5320
# Center_2                            651.4720
# Comment                             Xenocs_Cell_Window - front_window_open_only
# DDummy                              0.6
# Date                                2025-10-17T23:18:09
# Delta                               0
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               0
# Intensity1                          9.28611e-10
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0355101
# SampleDistance                      0.450002
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.429
# beamx_dial                          588.429
# beamz                               657.855
# beamz_dial                          657.855
# det0x                               -0.000396875
# det0x_dial                          6.36905
# det0xvd                             -0.0005
# det0xvd_dial                        -0.0005
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.2295
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7238
# waxsh                               137.085
# waxsh_dial                          -43.5335
# waxsth                              26.0607
# waxsth_dial                         -19.4068
# waxsz                               67.0407
# waxsz_dial                          -23.7962
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         15302352
# DetectorModel                       Dectris EIGER2 Si 1M, S/N E-02-0362
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.343e+08
# TransmittedFlux                     928611
# det                                 0
# mon                                 0
# pilai0                              3.343e+08
# pilai1                              725512
# pilct0                              5.76289e+08
# pilct1                              725512
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251017__0_00047.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['SAXS_correted.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.000340                355026.851                112.889876           
       0.001019                352907.127                 68.923966           
       0.001698                348405.911                48.4248004           
       0.002377                330986.584                 42.215829           
       0.003056                299594.595                33.9447932           
       0.003735                260465.466                27.9131667           
       0.004415                204013.639                24.7037987           
       0.005094                151841.316                18.4569473           
       0.005773                100210.306                13.8818658           
       0.006452                60098.4328                10.3858436           
       0.007131                32511.1048                7.39625508           
       0.007810                16264.6039                5.15152689           
       0.008490                 8515.8615                3.30415995           
       0.009169                3310.20813                2.03594048           
       0.009848                1315.46066                1.23419667           
       0.010527                374.289681               0.661907327           
       0.011206                127.932261                0.36572857           
       0.011885                51.8363706               0.220321128           
       0.012564                25.7728815               0.156033255           
       0.013244                17.3921813               0.121921474           
       0.013923                12.8897743                0.10666736           
       0.014602                9.72131783              0.0852649456           
       0.015281                7.84929533              0.0788379771           
       0.015960                 6.2224964               0.069432838           
       0.016639                5.15515969              0.0590898545           
       0.017319                  4.203994              0.0525412021           
       0.017998                 3.5060114              0.0465825663           
       0.018677                3.01257032              0.0444773114           
       0.019356                2.57361534              0.0403775253           
       0.020035                2.19075155              0.0350540992           
       0.020714                1.92580952              0.0333026863           
       0.021394                1.60862988              0.0286537072           
       0.022073                1.49347821              0.0289429896           
       0.022752                1.33671292              0.0258758719           
       0.023431                1.18480097              0.0238137187           
       0.024110                1.01484639              0.0230336595           
       0.024789               0.887136518              0.0200778912           
       0.025469                 0.8254221              0.0198326859           
       0.026148               0.764631814               0.018076915           
       0.026827               0.711527232              0.0175779833           
       0.027506               0.629721212              0.0170973971           
       0.028185               0.568742266              0.0155595862           
       0.028864               0.540044262              0.0149564777           
       0.029544               0.488473586              0.0139327877           
       0.030223                0.46009254              0.0139671775           
       0.030902               0.439772906              0.0141068313           
       0.031581               0.373216646              0.0121786851           
       0.032260               0.352461359              0.0123470009           
       0.032939               0.328529596              0.0119444914           
       0.033619               0.330870614              0.0124202485           
       0.034298               0.289098465              0.0112502819           
       0.034977               0.274225795              0.0108690892           
       0.035656               0.257604251               0.011055376           
       0.036335               0.228993728              0.0101583628           
       0.037014               0.225501366              0.0106283836           
       0.037693               0.197411394             0.00967800943           
       0.038373               0.198616849              0.0101412212           
       0.039052               0.174843397             0.00935880295           
       0.039731               0.158729062             0.00922244601           
       0.040410                0.15002817              0.0089661371           
       0.041089                0.14873677             0.00933078899           
       0.041768               0.146620449              0.0097535442           
       0.042448               0.137968736             0.00879751602           
       0.043127               0.140979694             0.00928845419           
       0.043806               0.122241503              0.0090151816           
       0.044485               0.128458584             0.00886643491           
       0.045164                0.12008321             0.00907645563           
       0.045843               0.116020351             0.00824108541           
       0.046523               0.116506866              0.0084923637           
       0.047202               0.124240823             0.00920306231           
       0.047881               0.136052019             0.00954046365           
       0.048560               0.119467974             0.00908227501           
       0.049239              0.0948048709             0.00768289395           
       0.049918               0.107664501             0.00920046709           
       0.050598              0.0917560069             0.00798521454           
       0.051277              0.0860918049             0.00751961384           
       0.051956              0.0809373588             0.00809630077           
       0.052635              0.0654557502             0.00745094554           
       0.053314              0.0948723827             0.00848333158           
       0.053993              0.0819959603             0.00824264683           
       0.054673              0.0794029574             0.00781624116           
       0.055352              0.0767239235             0.00813121678           
       0.056031              0.0854584085             0.00854749187           
       0.056710              0.0880376273             0.00867554783           
