################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      2105344
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               512
# Dim_2                               1028
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                2105344
# Center_1                            304.9000
# Center_2                            588.7000
# Comment                             Xenocs_Cell_Window - front_window_open_only
# DDummy                              0.6
# Date                                2025-10-17T18:08:18
# Delta                               21.910000
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               15.360000
# Intensity1                          1.00179e-09
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0542412
# SampleDistance                      0.115750
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.429
# beamx_dial                          588.429
# beamz                               657.855
# beamz_dial                          657.855
# det0x                               -0.000396875
# det0x_dial                          6.36905
# det0xvd                             -0.0005
# det0xvd_dial                        -0.0005
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.2295
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7238
# waxsh                               137.085
# waxsh_dial                          -43.5335
# waxsth                              26.0607
# waxsth_dial                         -19.4068
# waxsz                               67.0407
# waxsz_dial                          -23.7962
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         6807993
# DetectorModel                       Dectris EIGER2 Si 500K, S/N E-01-0554
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.60645e+08
# TransmittedFlux                     1.00179e+06
# det                                 0
# mon                                 0
# pilai0                              3.60645e+08
# pilai1                              778041
# pilct0                              6.17819e+08
# pilct1                              778041
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251017__1_00000.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['20251017__1_00233_mask.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.690460             0.00688427529             0.00722845806           
       0.693100             0.00281553032             0.00206673313           
       0.695741             0.00519253977             0.00237115713           
       0.698381             0.00912282051             0.00293955202           
       0.701021             0.00555490311              0.0018720597           
       0.703662             0.00358173358             0.00139145904           
       0.706302             0.00441179724             0.00149144559           
       0.708942             0.00736367148             0.00171155465           
       0.711583             0.00510086418             0.00142424893           
       0.714223             0.00770290643             0.00152516053           
       0.716864             0.00650106971             0.00142979036           
       0.719504             0.00608403381             0.00128012574           
       0.722144             0.00763055939             0.00138458844           
       0.724785             0.00529797094             0.00113480229           
       0.727425             0.00683135261             0.00119524417           
       0.730065             0.00522917512             0.00107599793           
       0.732706             0.00533508278            0.000977334593           
       0.735346             0.00600124858             0.00111965915           
       0.737987             0.00681065092             0.00103239831           
       0.740627             0.00518366855            0.000986686948           
       0.743267             0.00714813629             0.00099665009           
       0.745908             0.00554026192            0.000940360978           
       0.748548             0.00565085112            0.000885761072           
       0.751189             0.00457719792            0.000789675251           
       0.753829             0.00450408571            0.000790409422           
       0.756469             0.00656978434            0.000897851212           
       0.759110             0.00609655755             0.00089461206           
       0.761750             0.00754089849            0.000910588447           
       0.764390             0.00488052482            0.000786363994           
       0.767031              0.0074012596            0.000876266136           
       0.769671             0.00671038739            0.000884873449           
       0.772312             0.00422847772            0.000640096737           
       0.774952             0.00541363381            0.000776451514           
       0.777592             0.00594983328            0.000744521736           
       0.780233             0.00541759285            0.000748953775           
       0.782873              0.0055158646            0.000691062625           
       0.785513             0.00681686074            0.000817235487           
       0.788154             0.00787971536            0.000807040447           
       0.790794             0.00606515228            0.000732806288           
       0.793435             0.00625029914             0.00071451552           
       0.796075             0.00515986039            0.000652632547           
       0.798715             0.00695251656            0.000753241712           
       0.801356             0.00596885268            0.000679247336           
       0.803996             0.00786284698            0.000792059503           
       0.806637             0.00636973166            0.000673878474           
       0.809277             0.00635463782             0.00070415101           
       0.811917             0.00661845556            0.000680022485           
       0.814558             0.00626837497            0.000677964856           
       0.817198             0.00703479566            0.000684820134           
       0.819838             0.00729694036            0.000727528579           
       0.822479             0.00630616597            0.000623279944           
       0.825119             0.00692632641            0.000701713881           
       0.827760             0.00625053398            0.000617675962           
       0.830400              0.0068675426              0.0006821652           
       0.833040             0.00562012436            0.000575938462           
       0.835681             0.00661381181            0.000654280758           
       0.838321             0.00565258937             0.00056614696           
       0.840961             0.00726943794            0.000671078616           
       0.843602             0.00533897351            0.000541731988           
       0.846242             0.00619610307            0.000604204353           
       0.848883              0.0069985208            0.000624655024           
       0.851523             0.00681453467            0.000621008871           
       0.854163             0.00747887864             0.00064301769           
       0.856804             0.00570142218              0.0005470655           
       0.859444             0.00614857769            0.000572198076           
       0.862085             0.00611299784            0.000562240812           
       0.864725             0.00601649708            0.000555737521           
       0.867365              0.0059750915            0.000549855745           
       0.870006             0.00651920342            0.000582359565           
       0.872646             0.00666466066            0.000563194631           
       0.875286             0.00607026666            0.000555807803           
       0.877927              0.0070112765            0.000571925443           
       0.880567             0.00632479225            0.000553817223           
       0.883208             0.00723279627            0.000575134361           
       0.885848             0.00722572311            0.000589760882           
       0.888488             0.00654697316            0.000533769897           
       0.891129             0.00582812096            0.000529388696           
       0.893769             0.00611664586            0.000512640648           
       0.896410             0.00776989398            0.000595579519           
       0.899050             0.00811517915            0.000586876251           
