################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      2105344
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               512
# Dim_2                               1028
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                2105344
# Center_1                            304.9000
# Center_2                            588.7000
# Comment                             Xenocs_Cell_Window - front_window_open_only
# DDummy                              0.6
# Date                                2025-10-19T13:22:30
# Delta                               21.910000
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               15.360000
# Intensity1                          8.8566e-10
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0329762
# SampleDistance                      0.115750
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.429
# beamx_dial                          588.429
# beamz                               657.855
# beamz_dial                          657.855
# det0x                               -0.000396875
# det0x_dial                          6.36905
# det0xvd                             -0.0005
# det0xvd_dial                        -0.0005
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.2295
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7238
# waxsh                               137.085
# waxsh_dial                          -43.5335
# waxsth                              26.0607
# waxsth_dial                         -19.4068
# waxsz                               67.0407
# waxsz_dial                          -23.7962
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         6807993
# DetectorModel                       Dectris EIGER2 Si 500K, S/N E-01-0554
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.18838e+08
# TransmittedFlux                     885660
# det                                 0
# mon                                 0
# pilai0                              3.18838e+08
# pilai1                              692100
# pilct0                              5.51779e+08
# pilct1                              692100
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251017__1_00393.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['20251017__1_00233_mask.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.690460             0.00778695904             0.00817627193           
       0.693100             0.00315491321             0.00232676668           
       0.695741             0.00467575058             0.00239304529           
       0.698381             0.00722305336             0.00278183795           
       0.701021             0.00901794116             0.00253682191           
       0.703662             0.00533469051             0.00180606441           
       0.706302             0.00504134907             0.00169561737           
       0.708942             0.00611693202             0.00165907197           
       0.711583             0.00751384211             0.00183844179           
       0.714223             0.00701952454             0.00154844907           
       0.716864              0.0059134735              0.0014502942           
       0.719504             0.00389765461               0.001089716           
       0.722144             0.00419468121             0.00109180938           
       0.724785             0.00542699944             0.00122151875           
       0.727425             0.00818700749             0.00139162015           
       0.730065             0.00816740661              0.0014301835           
       0.732706             0.00937369603             0.00137778976           
       0.735346             0.00605128076             0.00119575859           
       0.737987             0.00715376602             0.00112531775           
       0.740627             0.00718459905             0.00123542638           
       0.743267             0.00668304132             0.00102491583           
       0.745908             0.00680696531             0.00110856471           
       0.748548             0.00668483801             0.00102461316           
       0.751189             0.00641320074            0.000994124847           
       0.753829             0.00560036474            0.000937371559           
       0.756469             0.00604681542            0.000916108692           
       0.759110             0.00616302268            0.000956630281           
       0.761750             0.00655706772            0.000903067586           
       0.764390             0.00877650319             0.00112151722           
       0.767031             0.00827022473            0.000985137148           
       0.769671             0.00705267038            0.000964803769           
       0.772312             0.00576031038            0.000794568535           
       0.774952             0.00621351414            0.000884694606           
       0.777592             0.00671055012            0.000840928121           
       0.780233             0.00674802898            0.000888986433           
       0.782873             0.00760220751            0.000862849989           
       0.785513             0.00606042985            0.000819523763           
       0.788154             0.00695280345            0.000806259497           
       0.790794             0.00745238192            0.000863914404           
       0.793435             0.00550242352            0.000713005867           
       0.796075             0.00585575583            0.000739428291           
       0.798715             0.00705527013            0.000807002722           
       0.801356             0.00596681248            0.000722284906           
       0.803996              0.0080630091            0.000853043745           
       0.806637             0.00558873783            0.000671324837           
       0.809277             0.00676649211             0.00077278205           
       0.811917             0.00598199645            0.000687579391           
       0.814558             0.00661372971               0.000740641           
       0.817198             0.00705188075            0.000729219187           
       0.819838             0.00612478137            0.000708891528           
       0.822479             0.00589417054            0.000640865118           
       0.825119             0.00623066712            0.000707832821           
       0.827760             0.00634071134            0.000661646412           
       0.830400             0.00647935109             0.00070470843           
       0.833040             0.00609880265            0.000638087505           
       0.835681              0.0070585086            0.000718868637           
       0.838321             0.00618822097            0.000630003842           
       0.840961             0.00663750249            0.000681993386           
       0.843602             0.00692481005            0.000656166963           
       0.846242             0.00689079075            0.000677663188           
       0.848883             0.00582716766             0.00060620665           
       0.851523             0.00597894561            0.000618652587           
       0.854163             0.00608973718              0.0006171046           
       0.856804             0.00672479807            0.000631891017           
       0.859444             0.00747014815            0.000670777519           
       0.862085             0.00755610178            0.000664812194           
       0.864725             0.00622209303            0.000601064316           
       0.867365             0.00775655115             0.00066629361           
       0.870006              0.0076186037            0.000669555326           
       0.872646             0.00641708582            0.000587750815           
       0.875286             0.00748184025            0.000656265843           
       0.877927              0.0066123058            0.000590707066           
       0.880567             0.00671937446            0.000607103279           
       0.883208             0.00828128224             0.00065451533           
       0.885848             0.00663866143            0.000601215816           
       0.888488             0.00760314384            0.000611765851           
       0.891129             0.00633226266            0.000586873739           
       0.893769             0.00725290628            0.000593700253           
       0.896410             0.00643300454            0.000576360179           
       0.899050             0.00631246897            0.000550493174           
