	flags	Ns	time/s	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	Ewe/V	I Range	Q charge/discharge/mA.h	half cycle	P/W
721	49	1	720.00038181126	-3.151853382587433e-08	-3.151853382587433e-08	-0.2845	3.2478507	12	-3.151853382587433e-08	0	-0.0009213075
722	17	1	725.0003816849494	-0.0003954083390848504	-0.0003954398576186763	-0.2845	2.5358603	12	-0.00039543985761867625	0	-0.00072194426
723	17	1	730.0003815586388	-0.00039541687347160445	-0.0007908567310902807	-0.2845	2.4135504	12	-0.0007908567310902807	0	-0.0006871382
724	17	1	735.0003814323281	-0.00039541500646207066	-0.0011862717375523515	-0.2845	2.3418975	12	-0.0011862717375523513	0	-0.00066673546
725	17	1	740.0003813060175	-0.0003954167172792885	-0.00158168845483164	-0.2845	2.2900953	12	-0.0015816884548316397	0	-0.00065199024
726	17	1	745.0003811797069	-0.0003954222363399135	-0.0019771106911715534	-0.2845	2.2485237	12	-0.0019771106911715534	0	-0.0006401638
727	17	1	750.0003810533963	-0.0003954193368802468	-0.0023725300280518003	-0.2845	2.213327	12	-0.0023725300280518003	0	-0.0006301385
728	17	1	755.0003809270856	-0.0003954215110888084	-0.0027679515391406087	-0.2845	2.1826923	12	-0.0027679515391406087	0	-0.0006214201
729	17	1	760.000380800775	-0.0003954275706956784	-0.003163379109836287	-0.2845	2.1552832	12	-0.0031633791098362872	0	-0.00061362603
730	17	1	765.0003806744644	-0.0003954242100632853	-0.0035588033198995722	-0.2845	2.130432	12	-0.0035588033198995727	0	-0.00060654554
731	17	1	770.0003805481538	-0.00039542168296045725	-0.0039542250028600295	-0.2845	2.107871	12	-0.00395422500286003	0	-0.0006001185
732	17	1	775.0003804218431	-0.00039542583238912955	-0.004349650835249159	-0.2845	2.0867608	12	-0.00434965083524916	0	-0.00059411454
733	17	1	780.0003802955325	-0.0003954235451900297	-0.004745074380439189	-0.2845	2.0665665	12	-0.00474507438043919	0	-0.0005883617
734	17	1	785.0003801692219	-0.00039542434625327585	-0.005140498726692464	-0.2845	2.047384	12	-0.005140498726692466	0	-0.0005829016
735	17	1	790.0003800429113	-0.00039542630539337795	-0.005535925032085842	-0.2845	2.029156	12	-0.005535925032085844	0	-0.0005777148
736	17	1	795.0003799166007	-0.00039542086137334505	-0.005931345893459188	-0.2845	2.0118058	12	-0.005931345893459189	0	-0.00057276717
737	17	1	800.00037979029	-0.0003954200782229503	-0.006326765971682138	-0.2845	1.9953717	12	-0.006326765971682139	0	-0.0005680872
738	17	1	805.0003796639794	-0.00039542435668905575	-0.006722190328371193	-0.2845	1.9798157	12	-0.006722190328371195	0	-0.00056366454
739	17	1	810.0003795376688	-0.00039542103178468016	-0.007117611360155874	-0.2845	1.9650805	12	-0.007117611360155875	0	-0.00055946456
740	17	1	815.0003794113582	-0.0003954203234795067	-0.007513031683635381	-0.2845	1.951147	12	-0.007513031683635382	0	-0.00055549666
741	17	1	820.0003792850475	-0.00039542272199690344	-0.007908454405632283	-0.2845	1.9379768	12	-0.007908454405632285	0	-0.0005517505
742	17	1	825.0003791587369	-0.00039542046377228366	-0.008303874869404568	-0.2845	1.9254748	12	-0.008303874869404568	0	-0.00054818793
743	17	1	830.0003790324263	-0.0003954200141231219	-0.00869929488352769	-0.2845	1.9137553	12	-0.00869929488352769	0	-0.0005448508
744	17	1	835.0003789061157	-0.0003954238783369462	-0.009094718761864636	-0.2845	1.9026276	12	-0.009094718761864636	0	-0.00054168794
745	17	1	840.000378779805	-0.0003954222029729022	-0.009490140964837537	-0.2845	1.8921297	12	-0.009490140964837537	0	-0.0005386969
746	17	1	845.0003786534944	-0.0003954215116633309	-0.009885562476500869	-0.2845	1.8822999	12	-0.009885562476500869	0	-0.0005358973
747	17	1	850.0003785271838	-0.00039542271088394853	-0.010280985187384817	-0.2845	1.8727945	12	-0.010280985187384817	0	-0.00053319277
748	17	1	855.0003784008732	-0.0003954198926207092	-0.010676405080005526	-0.2845	1.863919	12	-0.010676405080005526	0	-0.0005306621
749	17	1	860.0003782745625	-0.0003954206503828367	-0.011071825730388363	-0.2845	1.8556352	12	-0.011071825730388363	0	-0.00052830466
750	17	1	865.0003781482519	-0.00039542258340285883	-0.011467248313791222	-0.2845	1.8475804	12	-0.011467248313791222	0	-0.000526014
751	17	1	870.0003780219413	-0.00039542530569765304	-0.011862673619488876	-0.2845	1.8401365	12	-0.011862673619488874	0	-0.00052389834
752	17	1	875.0003778956307	-0.0003954237090382311	-0.012258097328527106	-0.2845	1.8331125	12	-0.012258097328527106	0	-0.0005218964
753	17	1	880.00037776932	-0.00039542450435294045	-0.012653521832880047	-0.2845	1.8265465	12	-0.012653521832880045	0	-0.0005200281
754	17	1	885.0003776430094	-0.00039542314241660965	-0.013048944975296656	-0.2845	1.8202668	12	-0.013048944975296656	0	-0.00051823846
755	17	1	890.0003775166988	-0.000395423874532183	-0.01344436884982884	-0.2845	1.8143308	12	-0.01344436884982884	0	-0.0005165494
756	17	1	895.0003773903882	-0.00039542482868664796	-0.013839793678515486	-0.2845	1.8087382	12	-0.013839793678515486	0	-0.0005149584
757	17	1	900.0003772640775	-0.00039542318519453207	-0.014235216863710019	-0.2845	1.8035656	12	-0.014235216863710019	0	-0.00051348365
758	17	1	905.0003771377669	-0.0003954198744793733	-0.014630636738189392	-0.2845	1.7986794	12	-0.014630636738189392	0	-0.0005120882
759	17	1	910.0003770114563	-0.0003954214618404706	-0.015026058200029863	-0.2845	1.7942996	12	-0.015026058200029863	0	-0.0005108433
760	17	1	915.0003768851457	-0.00039542382424407533	-0.015421482024273939	-0.2845	1.7899859	12	-0.015421482024273937	0	-0.0005096182
761	17	1	920.000376758835	-0.00039541967710687056	-0.01581690170138081	-0.2845	1.7860157	12	-0.01581690170138081	0	-0.00050848257
762	17	1	925.0003766325244	-0.00039542144368920064	-0.01621232314507001	-0.2845	1.7823129	12	-0.01621232314507001	0	-0.0005074306
763	17	1	930.0003765062138	-0.00039542450984981326	-0.016607747654919822	-0.2845	1.7791253	12	-0.016607747654919822	0	-0.0005065271
764	17	1	935.0003763799032	-0.00039542099064919685	-0.01700316864556902	-0.2845	1.7758996	12	-0.01700316864556902	0	-0.00050560414
765	17	1	940.0003762535925	-0.0003954200872911347	-0.017398588732860154	-0.2845	1.7732275	12	-0.017398588732860154	0	-0.00050484226
766	17	1	945.0003761272819	-0.00039542418108383815	-0.01779401291394399	-0.2845	1.7707652	12	-0.01779401291394399	0	-0.00050414645
767	17	1	950.0003760009713	-0.00039542344941198825	-0.01818943636335598	-0.2845	1.7685702	12	-0.01818943636335598	0	-0.0005035206
768	17	1	955.0003758746607	-0.0003954225957757897	-0.01858485895913177	-0.2845	1.766547	12	-0.01858485895913177	0	-0.00050294347
769	17	1	960.00037574835	-0.00039542716166045933	-0.01898028612079223	-0.2845	1.7649055	12	-0.01898028612079223	0	-0.00050248194
770	17	1	965.0003756220394	-0.00039542443405919604	-0.019375710554851426	-0.2845	1.7633022	12	-0.019375710554851426	0	-0.00050202204
771	17	1	970.0003754957288	-0.00039542328130867747	-0.019771133836160103	-0.2845	1.7620615	12	-0.019771133836160103	0	-0.0005016673
772	17	1	975.0003753694182	-0.0003954256806737847	-0.02016655951683389	-0.2845	1.7608972	12	-0.02016655951683389	0	-0.00050133886
773	17	1	980.0003752431076	-0.00039542145308852196	-0.02056198096992241	-0.2845	1.7601337	12	-0.02056198096992241	0	-0.00050111616
774	17	1	985.0003751167969	-0.00039542391936812134	-0.020957404889290532	-0.2845	1.7591794	12	-0.020957404889290532	0	-0.0005008475
775	17	1	990.0003749904863	-0.0003954278381615877	-0.021352832727452118	-0.2845	1.758435	12	-0.02135283272745212	0	-0.0005006406
776	17	1	995.0003748641757	-0.00039542530497411885	-0.021748258032426238	-0.2845	1.7578814	12	-0.02174825803242624	0	-0.0005004798
777	17	1	1000.0003747378651	-0.00039542340138554573	-0.022143681433811783	-0.2845	1.7576524	12	-0.022143681433811787	0	-0.0005004122
778	17	1	1005.0003746115544	-0.0003954255656351646	-0.02253910699944695	-0.2845	1.7572898	12	-0.022539106999446952	0	-0.00050031167
779	17	1	1010.0003744852438	-0.00039542271222836443	-0.02293452971167531	-0.2845	1.7570606	12	-0.022934529711675318	0	-0.0005002428
780	17	1	1015.0003743589332	-0.00039542027542326184	-0.023329949987098576	-0.2845	1.7570034	12	-0.02332994998709858	0	-0.0005002234
781	17	1	1020.0003742326226	-0.0003954225368499756	-0.02372537252394855	-0.2845	1.7569462	12	-0.023725372523948556	0	-0.00050021004
782	17	1	1025.000374106312	-0.00039542418668667476	-0.024120796710635224	-0.2845	1.7569844	12	-0.02412079671063523	0	-0.00050022296
783	17	1	1030.0003739800013	-0.0003954234276165565	-0.02451622013825178	-0.2845	1.7571752	12	-0.024516220138251787	0	-0.00050027634
784	17	1	1035.0003738536907	-0.00039542612380617196	-0.024911646262057954	-0.2845	1.7572898	12	-0.024911646262057958	0	-0.0005003124
785	17	1	1040.00037372738	-0.0003954244531194369	-0.02530707071517739	-0.2845	1.7574997	12	-0.025307070715177394	0	-0.00050037005
786	17	1	1045.0003736010694	-0.0003954254458927446	-0.025702496161070135	-0.2845	1.7575569	12	-0.025702496161070138	0	-0.00050038757
787	17	1	1050.0003734747588	-0.00039542865143550767	-0.026097924812505644	-0.2845	1.7578814	12	-0.026097924812505644	0	-0.000500484
788	17	1	1055.0003733484482	-0.0003954224102497101	-0.026493347222755353	-0.2845	1.7583205	12	-0.026493347222755353	0	-0.00050060113
789	17	1	1060.0003732221376	-0.0003954238895244069	-0.02688877111227976	-0.2845	1.7585495	12	-0.02688877111227976	0	-0.0005006682
790	17	1	1065.000373095827	-0.00039542731744547687	-0.027284198429725237	-0.2845	1.7590266	12	-0.027284198429725237	0	-0.00050080835
791	17	1	1070.0003729695163	-0.0003954226894858811	-0.027679621119211118	-0.2845	1.7591984	12	-0.027679621119211118	0	-0.0005008515
792	17	1	1075.0003728432057	-0.0003954251463280784	-0.028075046265539194	-0.2845	1.7596756	12	-0.028075046265539198	0	-0.0005009904
793	17	1	1080.000372716895	-0.00039542746245529916	-0.028470473727994494	-0.2845	1.7601337	12	-0.028470473727994498	0	-0.0005011238
794	17	1	1085.0003725905844	-0.0003954246501011981	-0.028865898378095695	-0.2845	1.7603437	12	-0.028865898378095695	0	-0.00050117995
795	17	1	1090.0003724642738	-0.0003954255795396037	-0.029261323957635296	-0.2845	1.7609736	12	-0.0292613239576353	0	-0.00050136045
796	17	1	1095.0003723379632	-0.00039542616411381297	-0.02965675012174911	-0.2845	1.7612981	12	-0.029656750121749113	0	-0.0005014536
797	17	1	1100.0003722116526	-0.00039542237139079305	-0.030052172493139902	-0.2845	1.7618325	12	-0.030052172493139906	0	-0.00050160097
798	17	1	1105.000372085342	-0.0003954220322486427	-0.030447594525388547	-0.2845	1.7622333	12	-0.03044759452538855	0	-0.00050171465
799	17	1	1110.0003719590313	-0.0003954262839969661	-0.030843020809385512	-0.2845	1.7627486	12	-0.030843020809385516	0	-0.00050186674
800	17	1	1115.0003718327207	-0.00039542263296743236	-0.031238443442352944	-0.2845	1.7631686	12	-0.031238443442352947	0	-0.00050198165
801	17	1	1120.00037170641	-0.0003954235648893648	-0.03163386700724231	-0.2845	1.7636458	12	-0.031633867007242314	0	-0.0005021187
802	17	1	1125.0003715800995	-0.0003954235272357861	-0.032029290534478096	-0.2845	1.7642756	12	-0.0320292905344781	0	-0.000502298
803	17	1	1130.0003714537888	-0.0003954229055229161	-0.03242471344000101	-0.2845	1.7646383	12	-0.032424713440001016	0	-0.00050240045
804	17	1	1135.0003713274782	-0.00039542219322092004	-0.032820135633221934	-0.2845	1.7650582	12	-0.032820135633221934	0	-0.00050251913
805	17	1	1140.0003712011676	-0.0003954239479667611	-0.03321555958118869	-0.2845	1.7654972	12	-0.03321555958118869	0	-0.0005026463
806	17	1	1145.000371074857	-0.00039542165082361963	-0.03361098123201231	-0.2845	1.7660888	12	-0.03361098123201231	0	-0.0005028118
807	17	1	1150.0003709485463	-0.00039542216737899514	-0.03400640339939131	-0.2845	1.7665279	12	-0.0340064033993913	0	-0.00050293753
808	17	1	1155.0003708222357	-0.0003954258152031236	-0.03440182921459443	-0.2845	1.7669477	12	-0.03440182921459443	0	-0.0005030617
809	17	1	1160.000370695925	-0.0003954227432343695	-0.0347972519578288	-0.2845	1.7673486	12	-0.0347972519578288	0	-0.00050317193
810	17	1	1165.0003705696145	-0.00039542063945366277	-0.03519267259728246	-0.2845	1.7679021	12	-0.03519267259728246	0	-0.0005033268
811	17	1	1170.0003704433038	-0.0003954236382610268	-0.03558809623554349	-0.2845	1.768513	12	-0.03558809623554349	0	-0.00050350453
812	17	1	1175.0003703169932	-0.0003954221710430251	-0.035983518406586514	-0.2845	1.7689137	12	-0.035983518406586514	0	-0.00050361676
813	17	1	1180.0003701906826	-0.0003954198816700114	-0.03637893828825653	-0.2845	1.7693719	12	-0.03637893828825652	0	-0.0005037443
814	17	1	1185.000370064372	-0.00039542103584607445	-0.0367743593241026	-0.2845	1.7697726	12	-0.0367743593241026	0	-0.0005038599
815	17	1	1190.0003699380613	-0.000395421350421177	-0.03716978067452378	-0.2845	1.7703263	12	-0.03716978067452378	0	-0.00050401787
816	17	1	1195.0003698117507	-0.00039542144988973936	-0.03756520212441352	-0.2845	1.7707461	12	-0.03756520212441351	0	-0.00050413754
817	17	1	1200.00036968544	-0.0003954211366176605	-0.037960623261031175	-0.2845	1.7712424	12	-0.037960623261031175	0	-0.0005042784
