File	Integrated_Intensity	Mean_q(nm^-1)	Invariant	Capacity(mAh/g)	Potential(V)
3	3.2239e-02	2.0884	1.6452e-01	36.7570	2.0292
4	3.0809e-02	2.1213	1.6201e-01	55.3681	1.7703
5	3.1360e-02	2.0880	1.6084e-01	73.7465	1.7985
6	3.1456e-02	2.1029	1.6297e-01	92.1250	1.8148
7	3.1111e-02	2.0556	1.5329e-01	110.5035	1.8255
8	3.2906e-02	2.1124	1.7229e-01	128.8820	1.8327
9	2.9798e-02	2.1082	1.5424e-01	147.2604	1.8378
10	2.9099e-02	2.0612	1.4346e-01	165.6389	1.8415
11	3.0552e-02	2.0723	1.5329e-01	184.0174	1.8444
12	3.0550e-02	2.1293	1.6201e-01	202.3958	1.8466
13	3.0159e-02	2.1260	1.5896e-01	220.7743	1.8482
14	3.1124e-02	2.1390	1.6650e-01	239.3854	1.8495
15	3.0722e-02	2.0824	1.5505e-01	257.7639	1.8506
16	3.0591e-02	2.1273	1.6089e-01	275.9097	1.8514
17	3.1323e-02	2.1540	1.6921e-01	294.5208	1.8518
18	2.9798e-02	2.1482	1.5980e-01	312.8993	1.8524
19	3.0276e-02	2.1058	1.5563e-01	331.2778	1.8527
20	3.0539e-02	2.1746	1.6824e-01	349.6563	1.8530
21	2.8762e-02	2.1219	1.5015e-01	368.0347	1.8530
22	3.0050e-02	2.1438	1.6101e-01	386.4132	1.8527
23	2.9999e-02	2.1543	1.6176e-01	404.7917	1.8527
24	2.8679e-02	2.1596	1.5527e-01	423.1701	1.8526
25	2.9550e-02	2.1523	1.6007e-01	441.5486	1.8524
26	2.9868e-02	2.1646	1.6306e-01	460.1597	1.8519
27	2.8300e-02	2.1440	1.5073e-01	478.5382	1.8517
28	2.7528e-02	2.1597	1.4823e-01	497.1493	1.8512
29	2.7295e-02	2.2083	1.5376e-01	515.5278	1.8506
30	2.8934e-02	2.2072	1.6337e-01	533.9063	1.8500
31	2.8935e-02	2.2186	1.6492e-01	552.2847	1.8491
32	2.7898e-02	2.2001	1.5604e-01	570.6632	1.8485
33	2.9253e-02	2.2572	1.7248e-01	589.0417	1.8474
34	2.9321e-02	2.2137	1.6692e-01	607.4201	1.8466
35	2.7800e-02	2.2534	1.6382e-01	625.7986	1.8456
36	2.7132e-02	2.1564	1.4482e-01	644.1771	1.8446
37	2.8255e-02	2.2405	1.6323e-01	662.5556	1.8437
38	2.5819e-02	2.1963	1.4319e-01	681.1667	1.8424
39	2.6737e-02	2.2671	1.5787e-01	699.5451	1.8413
40	2.4532e-02	2.2141	1.3823e-01	717.9236	1.8403
41	2.7321e-02	2.2366	1.5692e-01	736.3021	1.8390
42	2.7718e-02	2.2427	1.6132e-01	754.6806	1.8376
43	2.7603e-02	2.2437	1.6012e-01	773.0590	1.8361
44	2.5154e-02	2.2689	1.4914e-01	791.4375	1.8346
45	2.4469e-02	2.2563	1.4290e-01	809.8160	1.8334
46	2.6274e-02	2.3132	1.6110e-01	828.1945	1.8319
47	2.5974e-02	2.1916	1.4275e-01	846.5729	1.8302
48	2.6898e-02	2.2759	1.6047e-01	864.9514	1.8287
49	2.4871e-02	2.2706	1.4661e-01	883.3299	1.8271
50	2.3615e-02	2.2501	1.3718e-01	901.7083	1.8254
51	2.3805e-02	2.2394	1.3612e-01	920.0868	1.8236
52	2.4484e-02	2.1533	1.2996e-01	938.4653	1.8219
53	2.5963e-02	2.2646	1.5352e-01	956.8438	1.8201
54	2.4628e-02	2.2151	1.3857e-01	975.4549	1.8180
55	2.4438e-02	2.2280	1.3964e-01	993.8333	1.8162
56	2.5385e-02	2.3004	1.5402e-01	1012.2118	1.8141
57	2.3924e-02	2.2756	1.4208e-01	1030.5903	1.8120
58	2.4769e-02	2.2898	1.4867e-01	1048.9688	1.8100
59	2.3354e-02	2.2006	1.2979e-01	1067.3472	1.8078
60	2.4432e-02	2.2562	1.4182e-01	1085.7257	1.8055
61	2.4747e-02	2.2567	1.4437e-01	1104.1042	1.8031
62	2.5502e-02	2.2814	1.5254e-01	1122.4826	1.8006
63	2.5035e-02	2.2344	1.4322e-01	1140.8611	1.7980
64	2.4558e-02	2.2595	1.4514e-01	1159.2396	1.7952
65	2.4902e-02	2.3272	1.5342e-01	1177.6181	1.7925
66	2.4757e-02	2.3086	1.5092e-01	1195.9965	1.7893
67	2.4320e-02	2.2444	1.4003e-01	1214.6076	1.7861
68	2.4242e-02	2.2718	1.4242e-01	1232.9861	1.7828
69	2.4126e-02	2.2706	1.4268e-01	1251.3646	1.7793
70	2.5885e-02	2.3176	1.5986e-01	1269.7431	1.7758
71	2.5969e-02	2.2947	1.5722e-01	1288.3542	1.7720
72	2.4954e-02	2.2853	1.5003e-01	1306.7326	1.7682
73	2.4032e-02	2.3064	1.4605e-01	1325.1111	1.7640
74	2.5122e-02	2.2886	1.5041e-01	1343.4896	1.7598
75	2.3571e-02	2.2469	1.3567e-01	1361.8681	1.7556
76	2.4635e-02	2.2643	1.4469e-01	1380.2465	1.7507
77	2.3271e-02	2.3009	1.4043e-01	1398.8576	1.7458
78	2.4482e-02	2.3136	1.5043e-01	1417.2361	1.7405
79	2.5429e-02	2.3433	1.5994e-01	1435.6146	1.7349
80	2.4340e-02	2.2844	1.4487e-01	1453.9931	1.7292
81	2.4395e-02	2.2149	1.3620e-01	1472.6042	1.7231
82	2.5826e-02	2.3632	1.6516e-01	1490.9826	1.7169
83	2.5464e-02	2.2669	1.4975e-01	1509.3611	1.7102
84	2.3796e-02	2.2739	1.4044e-01	1527.7396	1.7031
85	2.4518e-02	2.2665	1.4466e-01	1546.1181	1.6956
86	2.4030e-02	2.2045	1.3411e-01	1564.4965	1.6875
87	2.4232e-02	2.2689	1.4173e-01	1582.8750	1.6789
88	2.5044e-02	2.3120	1.5377e-01	1601.4861	1.6693
89	2.4267e-02	2.3091	1.4819e-01	1619.8646	1.6592
90	2.4764e-02	2.2918	1.5024e-01	1638.4757	1.6482
91	2.5170e-02	2.3146	1.5442e-01	1656.8542	1.6359
92	2.3389e-02	2.3155	1.4315e-01	1675.4653	1.6219
93	2.4461e-02	2.3036	1.4804e-01	1693.8437	1.6064
94	2.5369e-02	2.2949	1.5225e-01	1712.2222	1.5887
