Energy Loss (eV)	Original	Background_fit	Background_subtracted
1.058402921468904765e+02	1.446087890625000000e+03	1.400215920617163647e+03	4.587197000783635303e+01
1.059652921468904765e+02	1.448308593750000000e+03	1.393979073825042633e+03	5.432951992495736704e+01
1.060902921468904765e+02	1.442275390625000000e+03	1.387777311005658703e+03	5.449807961934129708e+01
1.062152921468904765e+02	1.431619140625000000e+03	1.381610393812814891e+03	5.000874681218510887e+01
1.063402921468904765e+02	1.426662109375000000e+03	1.375478085797351696e+03	5.118402357764830413e+01
1.064652921468904765e+02	1.421736328125000000e+03	1.369380152389841442e+03	5.235617573515855838e+01
1.065902921468904765e+02	1.417654296875000000e+03	1.363316360883463176e+03	5.433793599153682408e+01
1.067152921468904765e+02	1.416500000000000000e+03	1.357286480417048779e+03	5.921351958295122131e+01
1.068402921468904765e+02	1.403269531250000000e+03	1.351290281958309833e+03	5.197924929169016650e+01
1.069652921468904765e+02	1.392212890625000000e+03	1.345327538287228435e+03	4.688535233777156463e+01
1.070902921468904765e+02	1.388572265625000000e+03	1.339398023979624213e+03	4.917424164537578690e+01
1.072152921468904765e+02	1.410542968750000000e+03	1.333501515390886880e+03	7.704145335911312031e+01
1.073402921468904765e+02	1.395097656250000000e+03	1.327637790639875220e+03	6.745986561012477978e+01
1.074652921468904765e+02	1.383888671875000000e+03	1.321806629592978652e+03	6.208204228202134800e+01
1.075902921468904765e+02	1.365316406250000000e+03	1.316007813848344767e+03	4.930859240165523261e+01
1.077152921468904765e+02	1.358277343750000000e+03	1.310241126720263765e+03	4.803621702973623542e+01
1.078402921468904765e+02	1.357287109375000000e+03	1.304506353223714086e+03	5.278075615128591380e+01
1.079652921468904765e+02	1.354800781250000000e+03	1.298803280059062672e+03	5.599750119093732792e+01
1.080902921468904765e+02	1.353503906250000000e+03	1.293131695596923009e+03	6.037221065307699064e+01
1.082152921468904765e+02	1.323876953125000000e+03	1.287491389863163477e+03	3.638556326183652345e+01
1.083402921468904765e+02	1.327140625000000000e+03	1.281882154524070984e+03	4.525847047592901617e+01
1.084652921468904765e+02	1.316318359375000000e+03	1.276303782871660815e+03	4.001457650333918536e+01
1.085902921468904765e+02	1.312375000000000000e+03	1.270756069809137443e+03	4.161893019086255663e+01
1.087152921468904765e+02	1.330312500000000000e+03	1.265238811836500417e+03	6.507368816349958252e+01
1.088402921468904765e+02	1.321222656250000000e+03	1.259751807036295759e+03	6.147084921370424127e+01
1.089652921468904765e+02	1.323417968750000000e+03	1.254294855059511292e+03	6.912311369048870802e+01
1.090902921468904765e+02	1.305781250000000000e+03	1.248867757111612264e+03	5.691349288838773646e+01
1.092152921468904765e+02	1.284158203125000000e+03	1.243470315938717931e+03	4.068788718628206880e+01
1.093402921468904765e+02	1.282912109375000000e+03	1.238102335813917307e+03	4.480977356108269305e+01
1.094652921468904765e+02	1.284839843750000000e+03	1.232763622523720642e+03	5.207622122627935823e+01
1.095902921468904765e+02	1.283048828125000000e+03	1.227453983354646653e+03	5.559484477035334749e+01
1.097152921468904765e+02	1.266484375000000000e+03	1.222173227079945264e+03	4.431114792005473646e+01
1.098402921468904765e+02	1.270736328125000000e+03	1.216921163946451088e+03	5.381516417854891188e+01
1.099652921468904765e+02	1.264998046875000000e+03	1.211697605661568105e+03	5.330044121343189545e+01
