Energy Loss (eV)	Intensity
1.350000000000000284e+02	1.651878339604593293e+03
1.350625000000000284e+02	1.651740262686772894e+03
1.351250000000000284e+02	1.650654605594024815e+03
1.351875000000000284e+02	1.648189684425110727e+03
1.352500000000000284e+02	1.645896972576531880e+03
1.353125000000000284e+02	1.644475154860606381e+03
1.353750000000000284e+02	1.642863117073616650e+03
1.354375000000000284e+02	1.640008202623908346e+03
1.355000000000000284e+02	1.637512522981962320e+03
1.355625000000000284e+02	1.636912930644134121e+03
1.356250000000000284e+02	1.637646186998908206e+03
1.356875000000000284e+02	1.637054140237793035e+03
1.357500000000000284e+02	1.634005911169826732e+03
1.358125000000000284e+02	1.629934391741072886e+03
1.358750000000000284e+02	1.627458271956998715e+03
1.359375000000000284e+02	1.627325854500730429e+03
1.360000000000000284e+02	1.627894968089469330e+03
1.360625000000000284e+02	1.627112834047013166e+03
1.361250000000000284e+02	1.624629042524600663e+03
1.361875000000000284e+02	1.621748877938230180e+03
1.362500000000000284e+02	1.620189298423835226e+03
1.363125000000000284e+02	1.620522597735970976e+03
1.363750000000000284e+02	1.621324217132836793e+03
1.364375000000000284e+02	1.620464512185679268e+03
1.365000000000000284e+02	1.617443486470482412e+03
1.365625000000000284e+02	1.613959978065781343e+03
1.366250000000000284e+02	1.611807529997268375e+03
1.366875000000000284e+02	1.611619752232144265e+03
1.367500000000000284e+02	1.612461378370992861e+03
1.368125000000000284e+02	1.612882172330540925e+03
1.368750000000000284e+02	1.611531310290635702e+03
1.369375000000000284e+02	1.608970293640672026e+03
1.370000000000000284e+02	1.606729943262574579e+03
1.370625000000000284e+02	1.605817128667093584e+03
1.371250000000000284e+02	1.605156763643405384e+03
1.371875000000000284e+02	1.603514594319425669e+03
1.372500000000000284e+02	1.600677781523324938e+03
1.373125000000000284e+02	1.597684155612246286e+03
1.373750000000000284e+02	1.595838133336371811e+03
1.374375000000000284e+02	1.595696856710096426e+03
1.375000000000000284e+02	1.596601026466838448e+03
1.375625000000000284e+02	1.597173275715198315e+03
1.376250000000000284e+02	1.597008862928208600e+03
1.376875000000000284e+02	1.596183927751459123e+03
1.377500000000000284e+02	1.594852087622997033e+03
1.378125000000000284e+02	1.592856833454811976e+03
1.378750000000000284e+02	1.590526420098398148e+03
1.379375000000000284e+02	1.588292793048470912e+03
1.380000000000000284e+02	1.586567212463558462e+03
1.380625000000000284e+02	1.585103065392676626e+03
1.381250000000000284e+02	1.583384098624272610e+03
1.381875000000000284e+02	1.581735530316145514e+03
1.382500000000000284e+02	1.581354058832909232e+03
1.383125000000000284e+02	1.582466118941327977e+03
1.383750000000000284e+02	1.583398282502735128e+03
1.384375000000000284e+02	1.582278419050657476e+03
1.385000000000000284e+02	1.578715518631561281e+03
1.385625000000000284e+02	1.574040820358055271e+03
1.386250000000000284e+02	1.570475352541910979e+03
1.386875000000000284e+02	1.569307709024236146e+03
1.387500000000000284e+02	1.569584435655066954e+03
1.388125000000000284e+02	1.568705857871721491e+03
1.388750000000000284e+02	1.566021684880650128e+03
1.389375000000000284e+02	1.563124054049746064e+03
1.390000000000000284e+02	1.561877752961007218e+03
1.390625000000000284e+02	1.561784001161626975e+03
1.391250000000000284e+02	1.562084323250730449e+03
1.391875000000000284e+02	1.562644889326714292e+03
1.392500000000000284e+02	1.563541937568332287e+03
1.393125000000000284e+02	1.563964153061225716e+03
1.393750000000000284e+02	1.563376898391947407e+03
1.394375000000000284e+02	1.561951866299199537e+03
1.395000000000000284e+02	1.559979207976495445e+03
1.395625000000000284e+02	1.557588909211007376e+03
1.396250000000000284e+02	1.555271792410715761e+03
1.396875000000000284e+02	1.553699526489615209e+03
1.397500000000000284e+02	1.552716595002734493e+03
1.398125000000000284e+02	1.551294246788449072e+03
1.398750000000000284e+02	1.549272518312683587e+03
1.399375000000000284e+02	1.547918081177115027e+03
1.400000000000000284e+02	1.547820373360059875e+03
1.400625000000000284e+02	1.547263927546466221e+03
1.401250000000000284e+02	1.544216454058856925e+03
1.401875000000000284e+02	1.539577372790635536e+03
1.402500000000000284e+02	1.536544428503098970e+03
1.403125000000000284e+02	1.536782817693150037e+03
1.403750000000000284e+02	1.538370149508018812e+03
1.404375000000000284e+02	1.538713797649418439e+03
