Energy Loss (eV)	Intensity
1.500146484375000568e+02	1.038481860721479052e+03
1.500771484375000568e+02	1.038381784150100657e+03
1.501396484375000568e+02	1.038330307469229865e+03
1.502021484375000568e+02	1.038230017459760120e+03
1.502646484375000568e+02	1.038185067841507362e+03
1.503271484375000568e+02	1.038160274991128517e+03
1.503896484375000568e+02	1.038123188180640682e+03
1.504521484375000568e+02	1.038224252781729547e+03
1.505146484375000568e+02	1.038285727761014869e+03
1.505771484375000568e+02	1.038256271454788475e+03
1.506396484375000568e+02	1.038233827903060273e+03
1.507021484375000568e+02	1.038167867024745874e+03
1.507646484375000568e+02	1.038082342344348262e+03
1.508271484375000568e+02	1.037944457637908727e+03
1.508896484375000568e+02	1.037888075210115176e+03
1.509521484375000568e+02	1.037825897031848172e+03
1.510146484375000568e+02	1.037629223632819048e+03
1.510771484375000568e+02	1.037593923487813981e+03
1.511396484375000568e+02	1.037495008433955263e+03
1.512021484375000568e+02	1.037375183845295396e+03
1.512646484375000568e+02	1.037414144250124991e+03
1.513271484375000568e+02	1.037389689127610382e+03
1.513896484375000568e+02	1.037389801580262201e+03
1.514521484375000568e+02	1.037574471398562082e+03
1.515146484375000568e+02	1.037756735691885979e+03
1.515771484375000568e+02	1.037827198375361831e+03
1.516396484375000568e+02	1.037889481608079450e+03
1.517021484375000568e+02	1.037853963586062264e+03
1.517646484375000568e+02	1.037849887547354911e+03
1.518271484375000568e+02	1.037792463082984796e+03
1.518896484375000568e+02	1.037724500621455263e+03
1.519521484375000568e+02	1.037757730010068144e+03
1.520146484375000568e+02	1.037571724076710780e+03
1.520771484375000568e+02	1.037460998905072529e+03
1.521396484375000568e+02	1.037370203006635165e+03
1.522021484375000568e+02	1.037095096472544128e+03
1.522646484375000568e+02	1.036862678296644617e+03
1.523271484375000568e+02	1.036739113547591387e+03
1.523896484375000568e+02	1.036580642607724258e+03
1.524521484375000568e+02	1.036614941406256548e+03
1.525146484375000568e+02	1.036423440089376754e+03
1.525771484375000568e+02	1.036457959354291461e+03
1.526396484375000568e+02	1.036541194291554802e+03
1.527021484375000568e+02	1.036567732747402488e+03
1.527646484375000568e+02	1.036423530717336007e+03
1.528271484375000568e+02	1.036280483176497910e+03
1.528896484375000568e+02	1.036254498475977016e+03
1.529521484375000568e+02	1.036392196007937173e+03
1.530146484375000568e+02	1.036449011230474980e+03
1.530771484375000568e+02	1.036392477509476066e+03
1.531396484375000568e+02	1.036381625088785086e+03
1.532021484375000568e+02	1.036228206380214715e+03
1.532646484375000568e+02	1.036141580477634079e+03
1.533271484375000568e+02	1.036158106578486240e+03
1.533896484375000568e+02	1.035937578420934642e+03
1.534521484375000568e+02	1.036002610455143895e+03
1.535146484375000568e+02	1.036070178962482942e+03
1.535771484375000568e+02	1.036073252175077641e+03
1.536396484375000568e+02	1.036108217921408141e+03
1.537021484375000568e+02	1.035965586159452414e+03
1.537646484375000568e+02	1.036012892104646198e+03
1.538271484375000568e+02	1.035894653690229234e+03
1.538896484375000568e+02	1.035768979714139959e+03
1.539521484375000568e+02	1.035570755652231810e+03
1.540146484375000568e+02	1.035525578169395658e+03
1.540771484375000568e+02	1.035534677216507589e+03
1.541396484375000568e+02	1.035477517237814027e+03
1.542021484375000568e+02	1.035293750739826464e+03
1.542646484375000568e+02	1.035127505030783141e+03
1.543271484375000568e+02	1.035126376435257271e+03
1.543896484375000568e+02	1.034970576615773098e+03
1.544521484375000568e+02	1.034985544655546164e+03
1.545146484375000568e+02	1.035053708348136070e+03
1.545771484375000568e+02	1.034969969223491262e+03
1.546396484375000568e+02	1.035111481637672114e+03
1.547021484375000568e+02	1.035056444942596499e+03
1.547646484375000568e+02	1.035026249556114408e+03
1.548271484375000568e+02	1.034912180027823524e+03
1.548896484375000568e+02	1.034851268421526129e+03
1.549521484375000568e+02	1.034930885268709062e+03
1.550146484375000568e+02	1.034802477657440022e+03
1.550771484375000568e+02	1.034603882575763919e+03
