cycle_number,half_cycle,time_s,current_mA,voltage_V,capacity_mAh
0,0,167105.98674638872,0.0,2.9229374,0.0
0,0,167106.98674654518,0.0,2.8588517,0.0
0,0,167107.98674670164,0.0,2.8335953,0.0
0,0,167108.9867468581,0.0,2.8139894,0.0
0,0,167109.98674701457,0.0,2.797419,0.0
0,0,167110.98674717103,0.0,2.7827578,0.0
0,0,167111.9867473275,0.0,2.7695663,0.0
0,0,167112.98674748396,0.0,2.7571769,0.0
0,0,167113.98674764042,0.0,2.7458944,0.0
0,0,167114.98674779688,0.0,2.7351656,0.0
1,1,167115.93854794616,-1.121,2.7254677,0.0
1,1,167115.93894794618,-1.121,2.6738987,-1.2415775987837048e-07
1,1,167120.9389487285,-1.121,2.2317355,-0.0015570816824237504
1,1,167125.9389495108,-1.121,2.0721405,-0.003114045840534899
1,1,167130.93895029312,-1.121,1.9656357,-0.004671014425575733
1,1,167135.93895107543,-1.121,1.8867546,-0.006227979883439011
1,1,167140.93895185774,-1.121,1.8229357,-0.0077849483696288534
1,1,167145.93895264005,-1.121,1.7710292,-0.009341915167000558
1,1,167150.93895342236,-1.121,1.7307869,-0.010898883360015021
1,1,167155.93895420467,-1.121,1.702285,-0.01245585089079539
1,1,167160.93895498698,-1.121,1.6843975,-0.014012820606436995
1,1,167165.9389557693,-1.121,1.6742605,-0.015569791213697858
1,1,167170.9389565516,-1.121,1.6689916,-0.017126760539697278
1,1,167175.9389573339,-1.121,1.6659563,-0.018683732256571453
1,1,167180.93895811622,-1.121,1.6642381,-0.020240705621341865
1,1,167185.93895889854,-1.121,1.6629782,-0.021797679485758146
1,1,167190.93895968085,-1.121,1.6623672,-0.023354652457608118
1,1,167195.93896046316,-1.121,1.6620618,-0.024911626618332336
1,1,167200.93896124547,-1.121,1.6615273,-0.026468600770135724
1,1,167205.93896202778,-1.121,1.6615082,-0.028025575938728123
1,1,167210.9389628101,-1.121,1.6611645,-0.029582551378713715
1,1,167215.9389635924,-1.121,1.66126,-0.0311395228530301
1,1,167220.9389643747,-1.121,1.6611264,-0.03269649654500352
1,1,167225.93896515702,-1.121,1.66105,-0.03425346760835912
1,1,167230.93896593933,-1.121,1.6609355,-0.035810434974279666
1,1,167235.93896672165,-1.121,1.6610118,-0.03736740394353204
1,1,167240.93896750396,-1.121,1.6609927,-0.03892436996148029
1,1,167245.93896828627,-1.121,1.66105,-0.04048134184632698
1,1,167250.93896906858,-1.121,1.6609927,-0.04203831646351019
1,1,167255.9389698509,-1.121,1.6609546,-0.043595292642633114
1,1,167260.9389706332,-1.121,1.6609163,-0.0451522667202817
1,1,167265.9389714155,-1.121,1.6609355,-0.0467092404002481
1,1,167270.93897219782,-1.121,1.6608019,-0.04826621515548229
1,1,167275.93897298013,-1.121,1.6608973,-0.049823190051707954
1,1,167280.93897376244,-1.121,1.660821,-0.05138016876124011
1,1,167285.93897454476,-1.121,1.6608019,-0.052937146201425124
1,1,167290.93897532707,-1.121,1.6607255,-0.054494122750017374
1,1,167295.93897610938,-1.121,1.66063,-0.05605109749517175
1,1,167300.9389768917,-1.121,1.6605918,-0.05760807658886247
1,1,167305.938977674,-1.121,1.6604582,-0.05916505399784114
1,1,167310.9389784563,-1.121,1.6604201,-0.060722032667643484
1,1,167315.93897923862,-1.121,1.6605155,-0.0622790108141899
1,1,167320.93898002093,-1.121,1.6605346,-0.06383599223418367
1,1,167325.93898080324,-1.121,1.6604391,-0.0653929717819227
1,1,167330.93898158555,-1.121,1.6603246,-0.06694994896478784
1,1,167335.93898236786,-1.121,1.6600764,-0.06850692836372056
1,1,167340.93898315018,-1.121,1.6600192,-0.07006390456741385
1,1,167345.9389839325,-1.121,1.659981,-0.07162088058134582
1,1,167350.9389847148,-1.121,1.6598855,-0.07317785866198936
1,1,167355.9389854971,-1.121,1.65979,-0.07473483395977815
1,1,167360.93898627942,-1.121,1.65979,-0.07629181147425042
1,1,167365.93898706173,-1.121,1.6596183,-0.07784878965814908
1,1,167370.93898784404,-1.121,1.6595801,-0.07940576576128933
1,1,167375.93898862635,-1.121,1.6594656,-0.08096273983439471
1,1,167380.93898940866,-1.121,1.6592938,-0.08251971300733088
1,1,167385.93899019097,-1.121,1.6590456,-0.08407668756018744
1,1,167390.93899097329,-1.121,1.6590456,-0.08563366152464018
1,1,167395.9389917556,-1.121,1.6587783,-0.08719063401030168
1,1,167400.9389925379,-1.121,1.6587974,-0.08874760987493725
1,1,167405.93899332022,-1.121,1.6586064,-0.09030458479316365
1,1,167410.9389941023,-1.121,1.6585492,-0.09186156063966616
1,1,167415.9389948846,-1.121,1.6582628,-0.09341853571897081
1,1,167420.93899566692,-1.121,1.6582628,-0.09497550896932018
