cycle_number,half_cycle,time_s,current_mA,voltage_V,capacity_mAh
0,0,0.0,0.0,3.4323773,0.0
0,0,0.9999999747378752,0.0,3.4324155,0.0
0,0,1.9999999494757503,0.0,3.4323964,0.0
0,0,2.9999999242136255,0.0,3.4324155,0.0
0,0,3.9999998989515007,0.0,3.4323583,0.0
0,0,4.999999873689376,0.0,3.4324346,0.0
0,0,5.999999848427251,0.0,3.4324536,0.0
0,0,6.999999823165126,0.0,3.4324727,0.0
0,0,7.999999797903001,0.0,3.4324155,0.0
0,0,8.999999772640876,0.0,3.4324727,0.0
1,1,9.999799747383804,-0.1875,3.4316137,0.0
1,1,10.0001997473737,-0.1875,3.4190795,-2.0792193710803987e-08
1,1,15.000199621063075,-0.1875,2.7713785,-0.0002607463697774543
1,1,20.00019949475245,-0.1875,2.7066128,-0.0005214760824483302
1,1,25.000199368441827,-0.1875,2.6752894,-0.0007822097010157174
1,1,30.000199242131202,-0.1875,2.6558578,-0.0010429433378891812
1,1,35.00019911582058,-0.1875,2.6420953,-0.0013036777647907536
1,1,40.000198989509954,-0.1875,2.6311963,-0.0015644123034634526
1,1,45.00019886319933,-0.1875,2.621824,-0.0018251480434528658
1,1,50.000198736888706,-0.1875,2.6134634,-0.0020858846159229677
1,1,55.00019861057808,-0.1875,2.6058664,-0.002346618950954742
1,1,60.00019848426746,-0.1875,2.598231,-0.002607351251161761
1,1,65.00019835795683,-0.1875,2.5907104,-0.0028680841129447025
1,1,70.00019823164621,-0.1875,2.5831897,-0.0031288160828053953
1,1,75.00019810533558,-0.1875,2.575631,-0.003389547812280556
1,1,80.00019797902496,-0.1875,2.5679576,-0.0036502794518429374
1,1,85.00019785271434,-0.1875,2.560246,-0.0039110127093535335
1,1,90.00019772640371,-0.1875,2.552458,-0.00417174393655277
1,1,95.00019760009309,-0.1875,2.5447276,-0.004432473893937137
1,1,100.00019747378246,-0.1875,2.5366342,-0.00469320508181966
1,1,105.00019734747184,-0.1875,2.5287318,-0.004953938366062112
1,1,110.00019722116122,-0.1875,2.5208864,-0.005214670451261932
1,1,115.00019709485059,-0.1875,2.513003,-0.005475401779669027
1,1,120.00019696853997,-0.1875,2.5051389,-0.005736136060857111
1,1,125.00019684222934,-0.1875,2.49737,-0.005996869629517198
1,1,130.00019671591872,-0.1875,2.4896967,-0.006257603621825576
1,1,135.0001965896081,-0.1875,2.4822905,-0.006518336286591159
1,1,140.00019646329747,-0.1875,2.4749417,-0.006779067427516812
1,1,145.00019633698685,-0.1875,2.4675927,-0.007039799009810719
1,1,150.00019621067622,-0.1875,2.4606638,-0.00730052797056983
1,1,155.0001960843656,-0.1875,2.4536014,-0.007561258537555735
1,1,160.00019595805497,-0.1875,2.4467869,-0.007821990226948428
1,1,165.00019583174435,-0.1875,2.4401443,-0.008082721485044395
1,1,170.00019570543373,-0.1875,2.4336734,-0.008343452140140865
1,1,175.0001955791231,-0.1875,2.4273171,-0.00860418651779079
1,1,180.00019545281248,-0.1875,2.4210944,-0.008864917968976002
1,1,185.00019532650185,-0.1875,2.4150054,-0.009125649681006041
1,1,190.00019520019123,-0.1875,2.40905,-0.009386379094146193
1,1,195.0001950738806,-0.1875,2.4034,-0.009647107771319649
1,1,200.00019494756998,-0.1875,2.397769,-0.009907838359568683
1,1,205.00019482125936,-0.1875,2.392119,-0.010168569212245446
1,1,210.00019469494873,-0.1875,2.3867168,-0.010429298851665525
1,1,215.0001945686381,-0.1875,2.381487,-0.010690027019621599
1,1,220.00019444232748,-0.1875,2.3763902,-0.01095075158592976
1,1,225.00019431601686,-0.1875,2.371122,-0.011211474349440802
1,1,230.00019418970624,-0.1875,2.3661592,-0.011472197195945517
1,1,235.0001940633956,-0.1875,2.3612916,-0.01173292126000259
1,1,240.000193937085,-0.1875,2.3564816,-0.011993648063201873
1,1,245.00019381077436,-0.1875,2.351786,-0.01225437728964041
1,1,250.00019368446374,-0.1875,2.3471665,-0.012515105800736285
1,1,255.00019355815311,-0.1875,2.3427,-0.012775834025378031
1,1,260.0001934318425,-0.1875,2.3381379,-0.013036560349420544
1,1,265.00019330553187,-0.1875,2.333824,-0.013297287599020538
1,1,270.00019317922124,-0.1875,2.3295102,-0.013558014356339148
1,1,275.0001930529106,-0.1875,2.3250818,-0.013818742781521549
1,1,280.0001929266,-0.1875,2.320787,-0.014079470777325336
1,1,285.00019280028937,-0.1875,2.316664,-0.01434019816012681
1,1,290.00019267397875,-0.1875,2.3124454,-0.014600926879628669
1,1,295.0001925476681,-0.1875,2.3082843,-0.014861653652499123
1,1,300.0001924213575,-0.1875,2.3041995,-0.015122381255738442
1,1,305.0001922950469,-0.1875,2.3001337,-0.015383107270783852
1,1,310.00019216873625,-0.1875,2.296068,-0.015643832507076367
1,1,315.0001920424256,-0.1875,2.2921548,-0.015904560739122334
1,1,320.000191916115,-0.1875,2.2882228,-0.016165288556332393
1,1,325.0001917898044,-0.1875,2.2841952,-0.01642601240684672
1,1,330.00019166349375,-0.1875,2.2803967,-0.016686736475721834
1,1,335.0001915371831,-0.1875,2.276522,-0.016947461276991503
1,1,340.0001914108725,-0.1875,2.2725706,-0.017208184820493893
1,1,345.0001912845619,-0.1875,2.2687721,-0.0174689139712039
1,1,350.00019115825125,-0.1875,2.265069,-0.017729641992883554
1,1,355.00019103194063,-0.1875,2.2612896,-0.01799036764133722
1,1,360.00019090563,-0.1875,2.2575865,-0.018251094193560385
1,1,365.0001907793194,-0.1875,2.253788,-0.018511820688428153
1,1,370.00019065300876,-0.1875,2.2500277,-0.018772547678723935
1,1,375.00019052669813,-0.1875,2.2463818,-0.019033272763263023
1,1,380.0001904003875,-0.1875,2.242717,-0.01929399987953322
1,1,385.0001902740769,-0.1875,2.2389185,-0.019554728476600516
1,1,390.00019014776626,-0.1875,2.235349,-0.019815456603921953
1,1,395.00019002145564,-0.1875,2.231684,-0.020076187286522655
1,1,400.000189895145,-0.1875,2.2280383,-0.02033691943133457
1,1,405.0001897688344,-0.1875,2.2245262,-0.020597651625010704
1,1,410.00018964252376,-0.1875,2.2209184,-0.02085838481022666
1,1,415.00018951621314,-0.1875,2.2172725,-0.021119118992762434
1,1,420.0001893899025,-0.1875,2.2137604,-0.021379852705694737
1,1,425.0001892635919,-0.1875,2.21,-0.02164058865577562
1,1,430.00018913728127,-0.1875,2.206507,-0.021901323894654712
1,1,435.00018901097064,-0.1875,2.203014,-0.022162056649252772
1,1,440.00018888466,-0.1875,2.1994445,-0.022422791848486497
1,1,445.0001887583494,-0.1875,2.195894,-0.02268352909172823
1,1,450.00018863203877,-0.1875,2.1922865,-0.02294426455940389
1,1,455.00018850572815,-0.1875,2.188755,-0.023205000314671133
1,1,460.0001883794175,-0.1875,2.1853576,-0.023465734916914668
1,1,465.0001882531069,-0.1875,2.181826,-0.023726470410086214
1,1,470.0001881267963,-0.1875,2.1782377,-0.023987204085480836
1,1,475.00018800048565,-0.1875,2.1747446,-0.024247937725869317
1,1,480.000187874175,-0.1875,2.1712706,-0.024508673233474294
1,1,485.0001877478644,-0.1875,2.167701,-0.02476941151033176
1,1,490.0001876215538,-0.1875,2.1643033,-0.025030149211100403
1,1,495.00018749524315,-0.1875,2.160772,-0.02529088225277844
1,1,500.00018736893253,-0.1875,2.157279,-0.02555161887824121
1,1,505.0001872426219,-0.1875,2.1539004,-0.025812354382291434
1,1,510.0001871163113,-0.1875,2.1504264,-0.026073091534642708
1,1,515.0001869900007,-0.1875,2.1468952,-0.026333828078082037
1,1,520.00018686369,-0.1875,2.1434402,-0.026594564403304623
1,1,525.0001867373794,-0.1875,2.1400044,-0.026855300121327242
1,1,530.0001866110688,-0.1875,2.1363585,-0.027116035207050544
1,1,535.0001864847582,-0.1875,2.1329226,-0.02737677001985494
1,1,540.0001863584475,-0.1875,2.1293914,-0.027637505216701993
1,1,545.0001862321369,-0.1875,2.1259174,-0.02789823946609431
1,1,550.0001861058263,-0.1875,2.1224434,-0.02815897384703077
1,1,555.0001859795157,-0.1875,2.1190457,-0.028419708586480887
1,1,560.000185853205,-0.1875,2.1155908,-0.028680441490242056
1,1,565.0001857268944,-0.1875,2.111964,-0.02894117445416087
1,1,570.0001856005838,-0.1875,2.1086237,-0.029201908474419686
1,1,575.0001854742732,-0.1875,2.105207,-0.029462641615361808
1,1,580.0001853479625,-0.1875,2.101752,-0.029723377126261597
1,1,585.0001852216519,-0.1875,2.09824,-0.029984111082471912
1,1,590.0001850953413,-0.1875,2.0948231,-0.03024484626577381
1,1,595.0001849690307,-0.1875,2.0913491,-0.030505585190549498
1,1,600.00018484272,-0.1875,2.0878558,-0.030766326597782476
1,1,605.0001847164094,-0.1875,2.0844393,-0.031027068675112398
