cycle_number,half_cycle,time_s,current_mA,voltage_V,capacity_mAh
0,0,352491.82750172354,0.0,2.9289093,0.0
0,0,352492.8275009785,0.0,2.8927336,0.0
0,0,352493.8275002334,0.0,2.8750007,0.0
0,0,352494.82749948837,0.0,2.8608756,0.0
0,0,352495.8274987433,0.0,2.849232,0.0
0,0,352496.82749799825,0.0,2.8386955,0.0
0,0,352497.8274972532,0.0,2.8291132,0.0
0,0,352498.82749650814,0.0,2.820371,0.0
0,0,352499.8274957631,0.0,2.8122203,0.0
0,0,352500.827495018,0.0,2.8046234,0.0
1,1,352501.77929430874,-0.14389999,2.7976563,0.0
1,1,352501.77969430876,-0.14389999,2.779714,-1.5952706336975097e-08
1,1,352506.7798905835,-0.14389999,2.682269,-0.0002001992434081104
1,1,352511.7800868582,-0.14389999,2.6343963,-0.00040038948799669743
1,1,352516.7802831329,-0.14389999,2.5955715,-0.0006005841432420744
1,1,352521.78047940764,-0.14389999,2.5623393,-0.0008007793378258744
1,1,352526.78067568236,-0.14389999,2.5330582,-0.0010009735015365812
1,1,352531.7808719571,-0.14389999,2.506812,-0.0012011653276094133
1,1,352536.7810682318,-0.14389999,2.4832194,-0.0014013580601471994
1,1,352541.7812645065,-0.14389999,2.4613063,-0.0016015516732086738
1,1,352546.7814607812,-0.14389999,2.4413977,-0.0018017440683113204
1,1,352551.7816570559,-0.14389999,2.4229205,-0.0020019373210569224
1,1,352556.7818533306,-0.14389999,2.4058366,-0.0022021304619734487
1,1,352561.78204960533,-0.14389999,2.3900127,-0.002402323810853064
1,1,352566.78224588,-0.14389999,2.3748376,-0.002602519140190548
1,1,352571.7824421547,-0.14389999,2.3607888,-0.0028027141755206713
1,1,352576.78263842943,-0.14389999,2.3479998,-0.0030029101748855576
1,1,352581.7828347037,-0.14389999,2.3355737,-0.0032031056353689896
1,1,352586.7830309784,-0.14389999,2.3238344,-0.0034033018910744122
1,1,352591.783227253,-0.14389999,2.312897,-0.003603499470280276
1,1,352596.7834235276,-0.14389999,2.3025322,-0.003803696486116283
1,1,352601.7836198022,-0.14389999,2.2926447,-0.004003894177028702
1,1,352606.7838160768,-0.14389999,2.283616,-0.0042040914198574085
1,1,352611.7840123514,-0.14389999,2.2750647,-0.004404287280318637
1,1,352616.784208626,-0.14389999,2.2670667,-0.004604484708031018
1,1,352621.7844049006,-0.14389999,2.2597942,-0.0048046825128023815
1,1,352626.78460117546,-0.14389999,2.252789,-0.005004876768037676
1,1,352631.78479745006,-0.14389999,2.2464707,-0.005205070546346406
1,1,352636.78499372466,-0.14389999,2.2406108,-0.005405265993421276
1,1,352641.78518999927,-0.14389999,2.2353806,-0.005605462421822051
1,1,352646.7853862741,-0.14389999,2.2303605,-0.005805657356568508
1,1,352651.78558254894,-0.14389999,2.2257793,-0.0060058539274873
1,1,352656.7857788238,-0.14389999,2.22158,-0.006206050823336673
1,1,352661.7859750986,-0.14389999,2.2177434,-0.006406249093467162
1,1,352666.78617137345,-0.14389999,2.2140212,-0.006606448212293286
1,1,352671.7863676483,-0.14389999,2.2107189,-0.00680664821807295
1,1,352676.7865639231,-0.14389999,2.207474,-0.007006849246697292
1,1,352681.78676019795,-0.14389999,2.2045727,-0.007207051309675805
1,1,352686.7869564728,-0.14389999,2.2017095,-0.0074072535271454175
1,1,352691.7871527476,-0.14389999,2.199018,-0.007607452894638808
1,1,352696.78734902246,-0.14389999,2.1964984,-0.007807652383456626
1,1,352701.7875452973,-0.14389999,2.1941314,-0.008007852251631517
1,1,352706.78774157213,-0.14389999,2.1917837,-0.008208053785563342
1,1,352711.78793784697,-0.14389999,2.1894739,-0.008408254517754746
1,1,352716.7881341218,-0.14389999,2.1872597,-0.008608457707352107
1,1,352721.78833039664,-0.14389999,2.1850836,-0.008808657915083897
1,1,352726.7885266715,-0.14389999,2.1828885,-0.009008860090743335
1,1,352731.7887229463,-0.14389999,2.1809797,-0.009209061443546579
1,1,352736.78891922114,-0.14389999,2.1788228,-0.00940926292393522
1,1,352741.789115496,-0.14389999,2.1769905,-0.009609466078513196
1,1,352746.78931177035,-0.14389999,2.174967,-0.009809667139185798
1,1,352751.7895080447,-0.14389999,2.1728673,-0.010009865544045963
1,1,352756.7897043191,-0.14389999,2.1711304,-0.01021006458701276
1,1,352761.78990059346,-0.14389999,2.1690688,-0.010410263896461987
1,1,352766.79009686783,-0.14389999,2.1671028,-0.01061046629142016
1,1,352771.7902931422,-0.14389999,2.1653085,-0.01081066936220808
1,1,352776.79048941657,-0.14389999,2.163228,-0.011010871068637402
1,1,352781.79068569094,-0.14389999,2.1612618,-0.011211074501874543
1,1,352786.7908819653,-0.14389999,2.1592767,-0.01141127700224353
1,1,352791.7910782397,-0.14389999,2.157387,-0.011611481185644035
1,1,352796.79127451405,-0.14389999,2.1554782,-0.011811684562275805
1,1,352801.7914707884,-0.14389999,2.1535122,-0.012011890035991037
