cycle_number,half_cycle,time_s,current_mA,voltage_V,capacity_mAh
0,0,132561.48034149408,0.0,2.9841864,0.0
0,0,132562.48034165055,0.0,2.9709032,0.0
0,0,132563.480341807,0.0,2.9645023,0.0
0,0,132564.48034196347,0.0,2.9593053,0.0
0,0,132565.48034211993,0.0,2.954968,0.0
0,0,132566.4803422764,0.0,2.9513566,0.0
0,0,132567.48034243286,0.0,2.9479365,0.0
0,0,132568.48034258932,0.0,2.9447265,0.0
0,0,132569.48034274578,0.0,2.9416504,0.0
0,0,132570.48034290224,0.0,2.9389944,0.0
1,1,132571.43214305025,-0.3114,2.9363194,0.0
1,1,132571.4325430505,-0.3114,2.9167092,-3.4511173764864606e-08
1,1,132576.4325438328,-0.3114,2.8305044,-0.00043279517578913106
1,1,132581.43254461512,-0.3114,2.7947361,-0.0008655602689319186
1,1,132586.43254539743,-0.3114,2.7637634,-0.0012983288754092322
1,1,132591.43254617974,-0.3114,2.732103,-0.001731093124606543
1,1,132596.43254696205,-0.3114,2.698685,-0.0021638590226620434
1,1,132601.43254774436,-0.3114,2.6646934,-0.002596629224199388
1,1,132606.43254852667,-0.3114,2.6320777,-0.0030294023072570562
1,1,132611.432549309,-0.3114,2.6010287,-0.0034621781412197484
1,1,132616.4325500913,-0.3114,2.5716991,-0.003894949425879452
1,1,132621.4325508736,-0.3114,2.5442996,-0.004327712337190906
1,1,132626.43255165592,-0.3114,2.5176263,-0.004760489758307735
1,1,132631.43255243823,-0.3114,2.4923475,-0.005193269486061401
1,1,132636.43255322054,-0.3114,2.467986,-0.005626048543789321
1,1,132641.43255400285,-0.3114,2.4445035,-0.006058822280488081
1,1,132646.43255478516,-0.3114,2.4215367,-0.006491593897860912
1,1,132651.43255556747,-0.3114,2.39964,-0.006924365738554134
1,1,132656.43255634978,-0.3114,2.378202,-0.00735714463058942
1,1,132661.4325571321,-0.3114,2.3577573,-0.007789919643349118
1,1,132666.4325579144,-0.3114,2.337867,-0.008222693051748806
1,1,132671.43255869672,-0.3114,2.3190274,-0.008655457344798579
1,1,132676.43255947903,-0.3114,2.3009713,-0.009088221311589083
1,1,132681.43256026134,-0.3114,2.2839277,-0.00952099812672039
1,1,132686.43256104365,-0.3114,2.2678778,-0.009953766605589127
1,1,132691.43256182596,-0.3114,2.2535093,-0.010386543744833936
1,1,132696.43256260827,-0.3114,2.2403636,-0.010819321754978765
