################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      4366944
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               1028
# Dim_2                               1062
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                4366944
# Center_1                            607.5200
# Center_2                            651.5500
# Comment                             Xenocs_Cell_Window - 20251028_20perc_iodine_1.23mg
# DDummy                              0.6
# Date                                2025-10-29T23:41:45
# Delta                               0
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               0
# Intensity1                          8.45336e-10
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0326538
# SampleDistance                      0.450002
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.434
# beamx_dial                          588.434
# beamz                               657.808
# beamz_dial                          657.808
# det0x                               0
# det0x_dial                          6.36945
# det0xvd                             0
# det0xvd_dial                        0
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.23302
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7355
# waxsh                               137.085
# waxsh_dial                          -43.5338
# waxsth                              26.0607
# waxsth_dial                         -19.4086
# waxsz                               67.0407
# waxsz_dial                          -23.7954
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         15302352
# DetectorModel                       Dectris EIGER2 Si 1M, S/N E-02-0362
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.04321e+08
# TransmittedFlux                     845336
# det                                 0
# mon                                 0
# pilai0                              3.04321e+08
# pilai1                              772854
# pilct0                              5.27103e+08
# pilct1                              772854
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251028_20perc_iodine_1.23mg_0_00303.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['20251028_20perc_iodine_1.23mg_0_00012_mask.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.000340                372173.043                121.143212           
       0.001019                  359129.8                72.8732262           
       0.001698                 349791.91                50.8548283           
       0.002377                331072.257                44.2520863           
       0.003056                308107.629                36.0794273           
       0.003735                253449.627                28.8590542           
       0.004415                204904.032                25.9484619           
       0.005094                153242.543                19.4337583           
       0.005773                101242.373                14.6242982           
       0.006452                59065.2271                10.7025948           
       0.007131                32398.4801                7.67880923           
       0.007810                16199.9106                5.38856059           
       0.008490                8093.85441                3.37618859           
       0.009169                3897.68505                2.31549067           
       0.009848                1197.69279                1.24098905           
       0.010527                462.943027                0.77154146           
       0.011206                116.827479                0.36991463           
       0.011885                53.3842017               0.232329013           
       0.012564                24.7995874               0.162573991           
       0.013244                16.7172889               0.124787688           
       0.013923                12.3930834               0.109176247           
       0.014602                9.58116263              0.0890292075           
       0.015281                 7.5615748              0.0805115896           
       0.015960                6.16545625              0.0721789922           
       0.016639                4.78926572              0.0600727193           
       0.017319                4.04854975              0.0543732562           
       0.017998                3.43566932              0.0479195403           
       0.018677                2.91045041              0.0456806438           
       0.019356                2.57009838              0.0424156466           
       0.020035                2.21239592               0.036921208           
       0.020714                1.89600917              0.0345411608           
       0.021394                1.63256745              0.0303264889           
       0.022073                1.44028292              0.0296360166           
       0.022752                1.26048645               0.026521528           
       0.023431                1.08395889              0.0238733382           
       0.024110                 1.0140398              0.0240735953           
       0.024789               0.914907098              0.0212364613           
       0.025469               0.807448285              0.0205590518           
       0.026148               0.718475725              0.0182216083           
       0.026827               0.675984206              0.0179574139           
       0.027506                0.60382181               0.017216622           
       0.028185                0.56659483              0.0159043587           
       0.028864               0.508269036              0.0149790059           
       0.029544               0.462423154              0.0138548464           
       0.030223               0.453951478              0.0139241918           
       0.030902               0.409771923              0.0133503487           
       0.031581               0.389365115              0.0123709216           
       0.032260                0.33015956              0.0115857214           
       0.032939               0.336997622              0.0112862523           
       0.033619               0.303675715              0.0108712037           
       0.034298               0.291094773               0.010357978           
       0.034977                0.25701051             0.00954142942           
       0.035656               0.252812527             0.00971363631           
       0.036335               0.218503915              0.0087584605           
       0.037014               0.209582671             0.00860338517           
       0.037693               0.195986059             0.00800337924           
       0.038373               0.178586726             0.00771483294           
       0.039052               0.159475652             0.00732138091           
       0.039731               0.154962952             0.00704886076           
       0.040410               0.171247898              0.0073603094           
       0.041089               0.159313078             0.00698799205           
       0.041768               0.147745729             0.00676467956           
       0.042448               0.132428748             0.00635474068           
       0.043127                0.12559894             0.00604253925           
       0.043806               0.128290008             0.00615246418           
       0.044485               0.125389298             0.00595755603           
       0.045164               0.106507747             0.00559892684           
       0.045843               0.104002066             0.00530650651           
       0.046523               0.109587849             0.00546595455           
       0.047202               0.094310161             0.00510608789           
       0.047881               0.108199887             0.00536371358           
       0.048560              0.0960874267             0.00510065577           
       0.049239              0.0935633774             0.00483279689           
       0.049918              0.0854280173             0.00470818848           
       0.050598              0.0845491583             0.00461363418           
       0.051277              0.0769956724             0.00438875543           
       0.051956              0.0800183448             0.00444597678           
       0.052635              0.0784709003             0.00430934128           
       0.053314              0.0809755038             0.00450556023           
       0.053993              0.0789699839             0.00432738096           
       0.054673              0.0700084245             0.00398369192           
       0.055352              0.0720253151             0.00410001958           
       0.056031              0.0679294917             0.00389807474           
       0.056710              0.0642653812             0.00388439672           
       0.057389              0.0743788711             0.00402973943           
       0.058068              0.0590068869             0.00362624765           
       0.058748              0.0613711668             0.00374431374           
       0.059427              0.0688647661              0.0038991741           
       0.060106              0.0675452565             0.00389818662           
       0.060785               0.062741139             0.00364443319           
       0.061464              0.0571609434              0.0035624389           
       0.062143              0.0580150724             0.00355249876           
       0.062822              0.0501727485             0.00326490821           
       0.063502               0.054207335             0.00338757911           
       0.064181              0.0553741297             0.00338768824           
       0.064860               0.057165826             0.00349448439           
       0.065539              0.0492394923             0.00321147107           
       0.066218              0.0503480529             0.00317788771           
       0.066897              0.0477297575             0.00311803906           
       0.067577              0.0446052642             0.00304321362           
       0.068256              0.0457399551             0.00315737794           
       0.068935              0.0424877858             0.00299385705           
       0.069614              0.0392366358             0.00290567363           
       0.070293              0.0417100237             0.00302348272           
       0.070972              0.0440855932             0.00308563163           
       0.071652              0.0447578166             0.00311477042           
       0.072331              0.0405940069             0.00291348375           
       0.073010              0.0383176226              0.0028952925           
       0.073689              0.0385585414             0.00288842022           
       0.074368              0.0403049243             0.00294773592           
       0.075047              0.0432562924              0.0030209317           
       0.075727              0.0406903701             0.00291186593           
       0.076406              0.0399442907             0.00294261051           
       0.077085              0.0380401049             0.00281794883           
       0.077764                 0.0354551             0.00271098525           
       0.078443              0.0377654642             0.00281524246           
       0.079122              0.0360530563             0.00272425117           
       0.079802              0.0340825001             0.00267684761           
       0.080481               0.033776716             0.00257492348           
       0.081160              0.0345817321             0.00265889097           
       0.081839              0.0328841379             0.00255129837           
       0.082518              0.0373345704             0.00272075356           
       0.083197              0.0347740515             0.00258499847           
       0.083876               0.036810901               0.002615434           
       0.084556              0.0353548161             0.00263446931           
       0.085235              0.0313851261             0.00243420937           
       0.085914              0.0279347951             0.00231882096           
       0.086593              0.0298390838             0.00238112959           
       0.087272              0.0301416323             0.00235934259           
       0.087951              0.0272871515             0.00229555567           
       0.088631              0.0304795384             0.00234348857           
       0.089310              0.0355431184             0.00258434931           
       0.089989              0.0299226162             0.00234350588           
       0.090668               0.034714075             0.00255203503           
       0.091347              0.0334156682             0.00251787214           
       0.092026              0.0307903199              0.0023102028           
       0.092706              0.0301809073             0.00237024615           
       0.093385              0.0295556652             0.00230954685           
       0.094064              0.0246180184             0.00213234922           
       0.094743              0.0292131599             0.00228745124           
       0.095422              0.0321767666             0.00237390708           
       0.096101              0.0301220933             0.00234416756           
       0.096781               0.025389863              0.0021213529           
       0.097460              0.0292298597             0.00221403544           
       0.098139              0.0285048731             0.00216958237           
       0.098818              0.0259942601             0.00204632138           
       0.099497              0.0291767224             0.00217242165           
       0.100176              0.0248283242              0.0019514127           
       0.100856              0.0243096055              0.0019296831           
       0.101535              0.0258697033             0.00198680093           
       0.102214               0.027074588             0.00203255473           
       0.102893              0.0280772995             0.00204626709           
       0.103572              0.0262718385             0.00195014205           
       0.104251              0.0242547914             0.00188070731           
       0.104931              0.0243827092             0.00186849299           
       0.105610              0.0244068537             0.00187739222           
       0.106289              0.0264056995             0.00192025887           
       0.106968              0.0253551688             0.00188725757           
       0.107647              0.0263196342             0.00192397058           
       0.108326              0.0241483588             0.00181824819           
       0.109005              0.0241348056             0.00180630118           
       0.109685              0.0195651854             0.00160809331           
       0.110364              0.0246657331             0.00182608575           
       0.111043              0.0237590486             0.00178510309           
       0.111722              0.0250028187             0.00180884887           
       0.112401               0.025413792             0.00182872566           
       0.113080              0.0205558294             0.00162583248           
       0.113760              0.0203680273             0.00164541994           
       0.114439              0.0232546762             0.00173306411           
       0.115118              0.0217953716             0.00166515445           
       0.115797              0.0237622574             0.00175477346           
       0.116476              0.0211496553             0.00163072074           
       0.117155              0.0247748512             0.00177918938           
       0.117835              0.0223303442             0.00165555541           
       0.118514               0.023286175             0.00171205258           
       0.119193               0.022775149             0.00169317467           
       0.119872              0.0202574625             0.00157687761           
       0.120551              0.0220530704             0.00163432132           
       0.121230              0.0214829439             0.00159682465           
       0.121910              0.0218840437             0.00162723885           
       0.122589              0.0214417749             0.00161237173           
       0.123268               0.021898773             0.00159789557           
       0.123947              0.0172380843             0.00142686439           
       0.124626              0.0214333728             0.00157159515           
       0.125305              0.0236395825             0.00165859871           
       0.125985              0.0218843205             0.00158345204           
       0.126664              0.0189771931             0.00146048708           
       0.127343              0.0202684913             0.00152685405           
       0.128022              0.0177740167             0.00141884753           
       0.128701              0.0192744311              0.0014698245           
       0.129380              0.0189985838              0.0014409922           
       0.130059              0.0189823123             0.00144372005           
       0.130739                0.01968329              0.0014804736           
       0.131418              0.0185829823             0.00143447144           
       0.132097              0.0210137421             0.00150584452           
       0.132776              0.0177264552             0.00137681073           
       0.133455              0.0207263888             0.00150032786           
       0.134134              0.0209123013             0.00150224242           
       0.134814              0.0207179572             0.00147983915           
       0.135493              0.0225373197             0.00154969489           
       0.136172               0.018552976             0.00139543912           
       0.136851              0.0192015287             0.00142787602           
       0.137530              0.0188617723             0.00138156456           
       0.138209              0.0171715295             0.00133368593           
       0.138889              0.0187985546             0.00140159158           
       0.139568              0.0198175904             0.00143845717           
       0.140247              0.0177796923             0.00136070544           
       0.140926              0.0165503073             0.00127528221           
       0.141605              0.0174323165             0.00134207432           
       0.142284               0.020546877             0.00143289733           
       0.142964               0.016784738             0.00130004194           
       0.143643               0.017928319             0.00134190228           
       0.144322              0.0202671899              0.0013968948           
       0.145001               0.021210246             0.00145835725           
       0.145680              0.0214523829             0.00143195908           
       0.146359              0.0187370293             0.00134316369           
       0.147039              0.0200878497             0.00140218771           
       0.147718              0.0183905917             0.00131950518           
       0.148397              0.0169526454             0.00128655614           
       0.149076              0.0176243929             0.00127110418           
       0.149755               0.017701989             0.00129356909           
       0.150434              0.0163098752             0.00124217028           
       0.151114              0.0165162737             0.00124309139           
       0.151793              0.0178962181             0.00129399226           
       0.152472              0.0186233268             0.00129670052           
       0.153151              0.0180668617              0.0012895285           
       0.153830              0.0181771288             0.00128403381           
       0.154509              0.0210835924             0.00137711536           
       0.155188              0.0182599376             0.00128111203           
       0.155868              0.0180085736             0.00126321012           
       0.156547              0.0172546802             0.00124442916           
       0.157226              0.0181133331             0.00124387512           
       0.157905              0.0191089769             0.00128833548           
       0.158584              0.0165327109             0.00119616908           
       0.159263              0.0190294452             0.00128803788           
       0.159943              0.0178216045             0.00124742015           
       0.160622              0.0186755133              0.0012523117           
       0.161301              0.0185391994             0.00126442173           
       0.161980              0.0163494712             0.00116721684           
       0.162659              0.0163631569             0.00118064791           
       0.163338              0.0171066214             0.00119733234           
       0.164018              0.0199064845             0.00128482639           
       0.164697              0.0160061351             0.00116689397           
       0.165376              0.0161161735             0.00114531548           
       0.166055              0.0171580797             0.00118955159           
       0.166734              0.0167486886              0.0011700099           
       0.167413              0.0146386264              0.0010945945           
       0.168093              0.0180063611             0.00122547625           
       0.168772               0.017355846             0.00116795065           
       0.169451              0.0144056701             0.00108364244           
       0.170130              0.0176095318             0.00118237138           
       0.170809               0.015124199              0.0011088387           
       0.171488              0.0146010993             0.00107956237           
       0.172168              0.0157187102             0.00110935639           
       0.172847              0.0174231797             0.00118329785           
       0.173526              0.0174510705             0.00116165327           
       0.174205              0.0172381444             0.00115986195           
       0.174884              0.0164373601             0.00112669912           
       0.175563              0.0149427651             0.00107884172           
