################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      2105344
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               512
# Dim_2                               1028
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                2105344
# Center_1                            304.9000
# Center_2                            588.7000
# Comment                             Xenocs_Cell_Window - 20251028_20perc_iodine_1.23mg
# DDummy                              0.6
# Date                                2025-10-28T23:44:59
# Delta                               21.910000
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               15.360000
# Intensity1                          8.52068e-10
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0339317
# SampleDistance                      0.115750
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.434
# beamx_dial                          588.434
# beamz                               657.808
# beamz_dial                          657.808
# det0x                               0
# det0x_dial                          6.36945
# det0xvd                             0
# det0xvd_dial                        0
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.23302
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7355
# waxsh                               137.085
# waxsh_dial                          -43.5338
# waxsth                              26.0607
# waxsth_dial                         -19.4086
# waxsz                               67.0407
# waxsz_dial                          -23.7954
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         6807993
# DetectorModel                       Dectris EIGER2 Si 500K, S/N E-01-0554
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.06744e+08
# TransmittedFlux                     852068
# det                                 0
# mon                                 0
# pilai0                              3.06744e+08
# pilai1                              776119
# pilct0                              5.31485e+08
# pilct1                              776119
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251028_20perc_iodine_1.23mg_1_00085.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['WAXS_corrected.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.693100             0.00414058068             0.00429741768           
       0.695741             0.00553683903              0.0040552311           
       0.698381             0.00418661188             0.00431945414           
       0.701021           -2.37906234e-05                         0           
       0.703662           -2.37796799e-05                         0           
       0.706302             0.00173181618              0.0017550812           
       0.708942              0.0143733368             0.00652598656           
       0.711583             0.00881139545             0.00442461527           
       0.714223              0.0029394586             0.00295043983           
       0.716864              0.0112078226             0.00376950649           
       0.719504             0.00589711451             0.00295060794           
       0.722144             0.00370927849             0.00216712152           
       0.724785             0.00954007675             0.00277233612           
       0.727425             0.00294616005             0.00208419411           
       0.730065             0.00944965669             0.00264033619           
       0.732706             0.00614132856             0.00178743856           
       0.735346             0.00438147577             0.00196804161           
       0.737987              0.0061221649              0.0016438934           
       0.740627             0.00586542309             0.00240080726           
       0.743267             0.00657865621             0.00170301463           
       0.745908              0.0078322666             0.00201605436           
       0.748548             0.00705411875             0.00176357658           
       0.751189             0.00879524891             0.00265346606           
       0.753829             0.00608674724             0.00202911756           
       0.756469             0.00697667116             0.00175174969           
       0.759110              0.0112848988             0.00234783348           
       0.761750             0.00646047184             0.00157076509           
       0.764390              0.0107724116             0.00212295631           
       0.767031             0.00808266728             0.00159243274           
       0.769671             0.00439274833             0.00146442302           
       0.772312              0.0064720476              0.0013532268           
       0.774952             0.00568722212             0.00171300863           
       0.777592             0.00929396487             0.00159502377           
       0.780233             0.00711536154             0.00168379379           
       0.782873             0.00436705787             0.00126161697           
       0.785513             0.00664541004             0.00166378695           
       0.788154             0.00464367681             0.00116346061           
       0.790794             0.00662454178             0.00166133667           
       0.793435             0.00639999252             0.00146696475           
       0.796075             0.00685263882             0.00146226145           
       0.798715             0.00520702594             0.00150627311           
       0.801356             0.00835615975             0.00164228352           
       0.803996             0.00603192262             0.00142254287           
       0.806637             0.00487624295             0.00101787013           
       0.809277             0.00522078307             0.00113998428           
       0.811917             0.00675453018             0.00121217761           
       0.814558             0.00608302291             0.00119557898           
       0.817198             0.00572276784             0.00110170836           
       0.819838             0.00718026653             0.00124895295           
       0.822479             0.00841343301               0.001587565           
       0.825119             0.00738985993             0.00126635864           
       0.827760             0.00533398334             0.00108982629           
       0.830400             0.00429796206            0.000920741983           
       0.833040             0.00712115484             0.00124169671           
       0.835681             0.00895296658             0.00158277393           
       0.838321             0.00731048969             0.00120044525           
       0.840961             0.00911252978             0.00146027482           
       0.843602             0.00687924713             0.00116352107           
       0.846242             0.00687368856             0.00116287743           
       0.848883             0.00554669811             0.00106901317           
       0.851523              0.0066205178             0.00115340874           
       0.854163             0.00611395157             0.00117873839           
       0.856804             0.00606360224             0.00105547444           
       0.859444              0.0100707526              0.0013327656           
       0.862085             0.00880993009             0.00129921515           
       0.864725             0.00865705022             0.00131802566           
       0.867365             0.00793530107             0.00117013643           
       0.870006             0.00760678741             0.00109172516           
       0.872646             0.00517918383            0.000944646012           
       0.875286              0.0106702302              0.0013044527           
       0.877927             0.00502090456              0.0008634531           
       0.880567             0.00525812388            0.000915443298           
       0.883208              0.0070158291              0.0010474775           
       0.885848             0.00768070848             0.00113796546           
       0.888488             0.00606674871            0.000948594721           
       0.891129              0.0082709787             0.00113726935           
       0.893769             0.00860190302             0.00110995634           
       0.896410             0.00656376096            0.000903991125           
       0.899050             0.00738744515              0.0010546789           
       0.901690              0.0076728566             0.00117083422           
       0.904331             0.00532712911            0.000864906558           
       0.906971             0.00635145804             0.00100469371           
       0.909611             0.00737836459             0.00098575988           
       0.912252             0.00730637138             0.00101320686           
       0.914892             0.00804804699              0.0011620584           
       0.917533             0.00867114481             0.00114106499           
       0.920173             0.00787236355             0.00100874336           
       0.922813             0.00923238804             0.00114635985           
       0.925454             0.00760697274             0.00093700153           
       0.928094             0.00746706188            0.000991086206           
       0.930734             0.00745685364              0.0010662843           
       0.933375             0.00774623657             0.00107609365           
       0.936015             0.00651908934            0.000896574309           
       0.938656             0.00839604354             0.00109152639           
       0.941296             0.00863754591             0.00100334954           
       0.943936              0.0061493263            0.000830208333           
       0.946577             0.00760655164             0.00091724743           
       0.949217             0.00605401573            0.000752504212           
       0.951858             0.00757077535            0.000880889091           
       0.954498             0.00686387869            0.000970845731           
       0.957138             0.00861901236             0.00103064869           
       0.959779             0.00839861854             0.00100293367           
       0.962419             0.00871044672              0.0010145888           
       0.965059             0.00942429183             0.00110994618           
       0.967700             0.00972224858             0.00115463583           
       0.970340             0.00589344831            0.000795501695           
       0.972981             0.00836912234            0.000863695077           
       0.975621             0.00757686402            0.000874251773           
       0.978261             0.00745695336            0.000824093481           
       0.980902             0.00647622427            0.000918864138           
       0.983542             0.00746350908            0.000873539246           
       0.986182             0.00850296239            0.000915411426           
       0.988823             0.00771830685            0.000846861179           
       0.991463             0.00950718103              0.0010027647           
       0.994104             0.00714123424            0.000847800999           
       0.996744             0.00889213986            0.000964955296           
       0.999384             0.00804661789            0.000820938711           
       1.002025             0.00835955205            0.000933923175           
       1.004665             0.00820640191            0.000845635959           
       1.007306             0.00835952277            0.000849120108           
       1.009946             0.00700477354            0.000792713093           
       1.012586             0.00619782536            0.000726225252           
       1.015227             0.00932990918            0.000957240897           
       1.017867             0.00770664914            0.000836122613           
       1.020507             0.00861757549            0.000856426868           
       1.023148             0.00933522193            0.000961817133           
       1.025788             0.00839811962            0.000836475454           
       1.028429             0.00750715592            0.000828556453           
       1.031069             0.00631561855            0.000715154204           
       1.033709             0.00885143974            0.000899980252           
       1.036350             0.00870212157            0.000801458504           
       1.038990             0.00719374114            0.000742085919           
       1.041630             0.00849113619            0.000840907464           
       1.044271             0.00816670376            0.000775587377           
       1.046911             0.00766492322            0.000790356663           
       1.049552             0.00911057368            0.000905295964           
       1.052192             0.00706616779            0.000728015735           
       1.054832             0.00816103461            0.000789503854           
       1.057473             0.00816399395            0.000778425213           
       1.060113             0.00960238118            0.000823342908           
       1.062754             0.00957494806            0.000839416948           
       1.065394             0.00805075464            0.000813783727           
       1.068034             0.00763657357            0.000721133918           
       1.070675             0.00875111452            0.000805255684           
       1.073315             0.00801868191            0.000781869831           
       1.075955             0.00901953796             0.00078284071           
       1.078596             0.00759605769            0.000763532606           
       1.081236             0.00901362747              0.0007964374           
       1.083877             0.00905854579            0.000791257082           
       1.086517             0.00731023141            0.000762197042           
       1.089157             0.00702153057            0.000775090816           
       1.091798              0.0102575553            0.000821330213           
       1.094438             0.00894536508            0.000764523643           
       1.097078             0.00776347611            0.000683102885           
