File	Integrated_Intensity	Mean_q(nm^-1)	Invariant	Capacity(mAh/g)	Potential(V)
3	3.9677e-02	1.4900	1.1232e-01	36.7570	2.4215
4	3.8215e-02	1.5042	1.0988e-01	55.1354	2.1149
5	3.7921e-02	1.5023	1.0865e-01	73.5139	1.9157
6	3.7096e-02	1.5107	1.0767e-01	91.8924	1.8260
7	3.7059e-02	1.5100	1.0744e-01	110.2708	1.8299
8	3.6990e-02	1.5045	1.0637e-01	128.6493	1.8403
9	3.6574e-02	1.5148	1.0640e-01	147.0278	1.8484
10	3.6678e-02	1.5248	1.0872e-01	165.4063	1.8547
11	3.6334e-02	1.5278	1.0776e-01	183.7847	1.8593
12	3.6496e-02	1.5296	1.0866e-01	201.9306	1.8629
13	3.6264e-02	1.5212	1.0658e-01	220.3090	1.8656
14	3.6355e-02	1.5195	1.0664e-01	238.6875	1.8676
15	3.6130e-02	1.5307	1.0752e-01	256.8333	1.8692
16	3.5458e-02	1.5332	1.0564e-01	275.2118	1.8703
17	3.5887e-02	1.5312	1.0696e-01	293.5903	1.8711
18	3.5461e-02	1.5302	1.0541e-01	311.9688	1.8716
19	3.5124e-02	1.5341	1.0493e-01	330.3472	1.8722
20	3.5272e-02	1.5332	1.0555e-01	348.7257	1.8722
21	3.4882e-02	1.5463	1.0580e-01	367.1042	1.8723
22	3.5199e-02	1.5372	1.0563e-01	385.4827	1.8722
23	3.4820e-02	1.5513	1.0588e-01	404.0938	1.8720
24	3.5035e-02	1.5451	1.0616e-01	422.2396	1.8719
25	3.4725e-02	1.5539	1.0640e-01	440.8507	1.8716
26	3.4727e-02	1.5543	1.0629e-01	459.2292	1.8711
27	3.4613e-02	1.5488	1.0535e-01	477.6076	1.8708
28	3.3817e-02	1.5695	1.0552e-01	495.9861	1.8703
29	3.3857e-02	1.5646	1.0492e-01	514.3646	1.8696
30	3.3918e-02	1.5700	1.0601e-01	532.7431	1.8692
31	3.3439e-02	1.5583	1.0295e-01	551.1215	1.8685
32	3.2965e-02	1.5650	1.0218e-01	569.5000	1.8679
33	3.2548e-02	1.5683	1.0113e-01	588.1111	1.8672
34	3.2932e-02	1.5797	1.0393e-01	606.4896	1.8666
35	3.2691e-02	1.5776	1.0277e-01	624.8681	1.8658
36	3.2246e-02	1.5804	1.0171e-01	643.2465	1.8649
37	3.2174e-02	1.5870	1.0232e-01	661.6250	1.8644
38	3.1942e-02	1.5875	1.0166e-01	680.0035	1.8634
39	3.1932e-02	1.5889	1.0173e-01	698.3820	1.8628
40	3.1816e-02	1.5891	1.0113e-01	716.9931	1.8619
41	3.1612e-02	1.5894	1.0100e-01	735.3715	1.8610
42	3.1411e-02	1.6072	1.0234e-01	753.7500	1.8602
43	3.1081e-02	1.6059	1.0105e-01	772.1285	1.8594
44	3.1009e-02	1.5958	9.9562e-02	790.5070	1.8584
45	3.0880e-02	1.6058	1.0041e-01	808.8854	1.8575
46	3.0735e-02	1.6004	9.8944e-02	827.2639	1.8567
47	3.0221e-02	1.6101	9.8890e-02	845.6424	1.8557
48	3.0252e-02	1.6156	9.9412e-02	864.0208	1.8547
49	3.0156e-02	1.6191	9.9391e-02	882.3993	1.8538
50	2.9997e-02	1.6317	1.0033e-01	900.7778	1.8529
51	2.9832e-02	1.6182	9.8295e-02	919.1563	1.8518
52	2.9598e-02	1.6236	9.7862e-02	937.7674	1.8509
53	2.9398e-02	1.6428	9.9545e-02	955.9132	1.8498
54	2.9182e-02	1.6220	9.6645e-02	974.5243	1.8488
55	2.8987e-02	1.6327	9.7091e-02	992.9028	1.8479
56	2.9432e-02	1.6159	9.6616e-02	1011.2813	1.8466
57	2.9184e-02	1.6429	9.8921e-02	1029.6597	1.8454
58	2.8562e-02	1.6434	9.6604e-02	1048.0382	1.8441
59	2.8886e-02	1.6477	9.8432e-02	1066.4167	1.8430
60	2.8677e-02	1.6463	9.7584e-02	1084.7951	1.8417
61	2.8967e-02	1.6351	9.7352e-02	1103.1736	1.8403
62	2.8458e-02	1.6517	9.7227e-02	1121.5521	1.8389
63	2.8249e-02	1.6434	9.5517e-02	1139.9306	1.8374
64	2.8177e-02	1.6422	9.5243e-02	1158.3090	1.8358
65	2.8612e-02	1.6468	9.7265e-02	1176.6875	1.8344
66	2.8541e-02	1.6360	9.5852e-02	1195.0660	1.8327
67	2.8289e-02	1.6538	9.6845e-02	1213.4444	1.8309
68	2.8184e-02	1.6551	9.6710e-02	1231.8229	1.8290
69	2.8723e-02	1.6306	9.6281e-02	1250.2014	1.8273
70	2.8364e-02	1.6406	9.6010e-02	1268.5799	1.8254
71	2.8009e-02	1.6549	9.6027e-02	1286.9583	1.8233
72	2.8340e-02	1.6509	9.7062e-02	1305.3368	1.8214
73	2.8317e-02	1.6568	9.7621e-02	1323.7153	1.8193
74	2.7937e-02	1.6508	9.5319e-02	1342.0937	1.8171
75	2.8199e-02	1.6671	9.8447e-02	1360.7049	1.8148
76	2.8040e-02	1.6578	9.6603e-02	1379.0833	1.8123
77	2.7822e-02	1.6601	9.5875e-02	1397.2292	1.8100
78	2.8021e-02	1.6588	9.6691e-02	1415.6076	1.8075
79	2.7587e-02	1.6505	9.3982e-02	1433.9861	1.8049
80	2.7808e-02	1.6606	9.6095e-02	1452.3646	1.8022
81	2.8139e-02	1.6501	9.5928e-02	1470.9757	1.7993
82	2.8142e-02	1.6538	9.6771e-02	1489.3542	1.7963
83	2.8024e-02	1.6588	9.6435e-02	1507.7326	1.7933
84	2.8292e-02	1.6500	9.6876e-02	1526.1111	1.7901
85	2.7870e-02	1.6551	9.5821e-02	1544.4896	1.7867
86	2.8238e-02	1.6513	9.6522e-02	1562.8681	1.7833
87	2.8137e-02	1.6465	9.5564e-02	1581.2465	1.7795
88	2.8429e-02	1.6496	9.7431e-02	1599.6250	1.7757
89	2.7893e-02	1.6411	9.4229e-02	1618.0035	1.7715
90	2.7909e-02	1.6536	9.5644e-02	1636.3819	1.7672
91	2.8447e-02	1.6618	9.8693e-02	1654.7604	1.7627
92	2.7966e-02	1.6558	9.6324e-02	1673.1389	1.7580
93	2.8079e-02	1.6678	9.7803e-02	1691.5174	1.7529
94	2.8182e-02	1.6495	9.6165e-02	1709.8958	1.7477
95	2.8237e-02	1.6534	9.6908e-02	1728.2743	1.7421
96	2.7623e-02	1.6668	9.6239e-02	1746.6528	1.7361
97	2.7762e-02	1.6576	9.5821e-02	1765.0312	1.7299
98	2.8259e-02	1.6522	9.7010e-02	1783.4097	1.7234
99	2.7973e-02	1.6557	9.6414e-02	1801.7882	1.7164
100	2.8135e-02	1.6607	9.7492e-02	1820.1667	1.7089
101	2.7777e-02	1.6621	9.6092e-02	1838.5451	1.7010
102	2.8358e-02	1.6457	9.7023e-02	1856.9236	1.6924
103	2.7609e-02	1.6717	9.6486e-02	1875.3021	1.6829
104	2.8065e-02	1.6603	9.7277e-02	1893.6806	1.6726
105	2.8556e-02	1.6513	9.8246e-02	1912.0590	1.6612
106	2.7991e-02	1.6604	9.6776e-02	1930.4375	1.6483
107	2.8281e-02	1.6527	9.7403e-02	1948.8160	1.6337
108	2.8337e-02	1.6540	9.7662e-02	1967.1944	1.6168
109	2.7997e-02	1.6646	9.7479e-02	1985.5729	1.5969
110	2.8578e-02	1.6511	9.8118e-02	2003.9514	1.5727
111	2.8221e-02	1.6468	9.6204e-02	2022.5625	1.5425
112	2.8246e-02	1.6663	9.8455e-02	2040.9410	1.5050
113	2.8199e-02	1.6544	9.6953e-02	2059.3194	1.4579
114	2.7969e-02	1.6601	9.6890e-02	2077.6979	1.4007
115	2.7971e-02	1.6565	9.6502e-02	2096.0764	1.3368
116	2.7800e-02	1.6667	9.7312e-02	2114.4549	1.2726
117	2.8031e-02	1.6613	9.7061e-02	2132.8333	1.2106
118	2.8027e-02	1.6638	9.7456e-02	2151.1934	1.4681
119	2.8289e-02	1.6635	9.8204e-02	2169.5719	1.6532
120	2.7883e-02	1.6569	9.6281e-02	2187.9504	1.7910
121	2.8132e-02	1.6610	9.7518e-02	2206.3288	1.8797
122	2.7952e-02	1.6570	9.6407e-02	2224.9399	1.9386
123	2.7661e-02	1.6613	9.5673e-02	2243.0858	1.9797
124	2.7522e-02	1.6721	9.6440e-02	2261.4642	2.0115
125	2.7408e-02	1.6643	9.5171e-02	2279.8427	2.0363
126	2.7591e-02	1.6727	9.6707e-02	2298.2212	2.0561
127	2.7581e-02	1.6628	9.5561e-02	2316.5997	2.0723
128	2.7936e-02	1.6649	9.7393e-02	2334.9781	2.0857
129	2.7704e-02	1.6652	9.6346e-02	2353.3566	2.0970
130	2.7823e-02	1.6636	9.6571e-02	2371.7351	2.1070
131	2.7636e-02	1.6816	9.7941e-02	2390.3462	2.1158
132	2.7409e-02	1.6762	9.6429e-02	2408.7247	2.1238
133	2.7541e-02	1.6703	9.6346e-02	2427.1031	2.1310
134	2.7367e-02	1.6755	9.6149e-02	2445.4816	2.1378
135	2.7610e-02	1.6739	9.7033e-02	2463.8601	2.1441
136	2.7011e-02	1.6778	9.5475e-02	2482.2385	2.1500
137	2.7291e-02	1.6711	9.5460e-02	2500.6170	2.1557
138	2.7160e-02	1.6861	9.6703e-02	2518.9955	2.1611
139	2.7682e-02	1.6772	9.7417e-02	2537.3740	2.1663
140	2.7527e-02	1.6777	9.6969e-02	2555.7524	2.1715
