################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      4366944
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               1028
# Dim_2                               1062
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                4366944
# Center_1                            607.5320
# Center_2                            651.4720
# Comment                             Xenocs_Cell_Window - front_window_open_only
# DDummy                              0.6
# Date                                2025-10-17T18:14:54
# Delta                               0
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               0
# Intensity1                          1.00079e-09
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0481358
# SampleDistance                      0.450002
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.429
# beamx_dial                          588.429
# beamz                               657.855
# beamz_dial                          657.855
# det0x                               -0.000396875
# det0x_dial                          6.36905
# det0xvd                             -0.0005
# det0xvd_dial                        -0.0005
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.2295
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7238
# waxsh                               137.085
# waxsh_dial                          -43.5335
# waxsth                              26.0607
# waxsth_dial                         -19.4068
# waxsz                               67.0407
# waxsz_dial                          -23.7962
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         15302352
# DetectorModel                       Dectris EIGER2 Si 1M, S/N E-02-0362
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.60284e+08
# TransmittedFlux                     1.00079e+06
# det                                 0
# mon                                 0
# pilai0                              3.60284e+08
# pilai1                              779649
# pilct0                              6.1732e+08
# pilct1                              779649
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251017__0_00001.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['SAXS_correted.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.000340                354842.415                 108.71453           
       0.001019                351955.694                66.3024346           
       0.001698                348152.789                46.6289306           
       0.002377                331049.767                40.6688791           
       0.003056                300032.867                32.7217129           
       0.003735                260204.623                26.8742884           
       0.004415                203329.898                23.7563762           
       0.005094                150804.942                17.7181394           
       0.005773                98744.2668                13.2737314           
       0.006452                58755.4462                9.89189964           
       0.007131                31662.1723                 7.0309143           
       0.007810                15804.0249                4.89151636           
       0.008490                8207.82212                3.12468447           
       0.009169                3157.64569                1.91542239           
       0.009848                1241.65194                1.15502347           
       0.010527                351.114064               0.617536751           
       0.011206                121.428934               0.343222203           
       0.011885                50.4953553               0.209464294           
       0.012564                25.8990706               0.150668756           
       0.013244                17.2788652                0.11705938           
       0.013923                 12.931827               0.102916325           
       0.014602                9.95662822              0.0831207642           
       0.015281                7.93036058              0.0763329485           
       0.015960                6.51410445              0.0684313932           
       0.016639                5.33093352              0.0578813866           
       0.017319                4.33164622              0.0513737045           
       0.017998                3.61543209              0.0455661448           
       0.018677                3.13161422              0.0436816961           
       0.019356                2.69087009              0.0397703743           
       0.020035                2.35647321              0.0350202252           
       0.020714                2.02696701              0.0329110224           
       0.021394                1.72947282              0.0286190397           
       0.022073                1.51241582              0.0280559502           
       0.022752                1.38894346              0.0254075996           
       0.023431                1.19785999              0.0230649746           
       0.024110                1.10137943              0.0231140848           
       0.024789               0.986763978              0.0203974062           
       0.025469               0.885678556               0.019789143           
       0.026148               0.824320135              0.0180797126           
       0.026827                0.75889401              0.0174867572           
       0.027506                0.68648574               0.017195588           
       0.028185               0.636588373              0.0158567828           
       0.028864               0.602752861              0.0152205281           
       0.029544               0.523820317              0.0138980567           
       0.030223               0.492680551              0.0139224029           
       0.030902               0.485229449              0.0142736238           
       0.031581               0.425698141              0.0125289942           
       0.032260               0.405056134              0.0127499583           
       0.032939               0.368701488              0.0121888657           
       0.033619               0.354620367              0.0123859254           
       0.034298               0.312371609              0.0112647543           
       0.034977                0.29783518              0.0109111979           
       0.035656               0.287983554               0.011259686           
       0.036335               0.245788143              0.0101376624           
       0.037014               0.280142266              0.0114110967           
       0.037693               0.252975597              0.0105532125           
       0.038373                0.23525807              0.0106316313           
       0.039052               0.206484892             0.00979682295           
       0.039731               0.169867969             0.00919007547           
       0.040410               0.184488236             0.00957742459           
       0.041089               0.184892301              0.0100210688           
       0.041768               0.183726918              0.0105171244           
       0.042448               0.172539181             0.00947674124           
       0.043127                0.16213578             0.00959511154           
       0.043806               0.154382846              0.0097591073           
       0.044485               0.162483498             0.00960544586           
       0.045164               0.150303497             0.00978149236           
       0.045843               0.147379706             0.00894708585           
       0.046523               0.149553152              0.0092682138           
       0.047202               0.147576306             0.00966170901           
       0.047881               0.149775882             0.00964236044           
       0.048560               0.139321061             0.00944762654           
       0.049239               0.129060748             0.00863479509           
       0.049918               0.127724187             0.00965285133           
       0.050598               0.129862705             0.00915075634           
       0.051277               0.122083157             0.00862557272           
       0.051956               0.125221939              0.0097005814           
       0.052635               0.105551269             0.00911411807           
       0.053314                0.11987045             0.00918539928           
       0.053993               0.128501895              0.0099396402           
       0.054673               0.103079829             0.00857851055           
       0.055352              0.0960484736             0.00876356485           
       0.056031              0.0920105761             0.00854329896           
       0.056710               0.111303174             0.00939640986           
       0.057389               0.110351366             0.00935618044           
