################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      4366944
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               1028
# Dim_2                               1062
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                4366944
# Center_1                            607.5320
# Center_2                            651.4720
# Comment                             Xenocs_Cell_Window - front_window_open_only
# DDummy                              0.6
# Date                                2025-10-18T19:52:52
# Delta                               0
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               0
# Intensity1                          9.01976e-10
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0333185
# SampleDistance                      0.450002
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.429
# beamx_dial                          588.429
# beamz                               657.855
# beamz_dial                          657.855
# det0x                               -0.000396875
# det0x_dial                          6.36905
# det0xvd                             -0.0005
# det0xvd_dial                        -0.0005
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.2295
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7238
# waxsh                               137.085
# waxsh_dial                          -43.5335
# waxsth                              26.0607
# waxsth_dial                         -19.4068
# waxsz                               67.0407
# waxsz_dial                          -23.7962
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         15302352
# DetectorModel                       Dectris EIGER2 Si 1M, S/N E-02-0362
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.24711e+08
# TransmittedFlux                     901976
# det                                 0
# mon                                 0
# pilai0                              3.24711e+08
# pilai1                              709427
# pilct0                              5.61621e+08
# pilct1                              709427
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251017__0_00234.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['SAXS_correted.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.000340                352418.977                114.123074           
       0.001019                351784.578                69.8228971           
       0.001698                348543.595                 49.144289           
       0.002377                331461.965                42.8653523           
       0.003056                299326.304                34.4269099           
       0.003735                260712.891                28.3357498           
       0.004415                204815.088                25.1150781           
       0.005094                152865.343                18.7905214           
       0.005773                101501.674                14.1758031           
       0.006452                60908.4205                10.6088496           
       0.007131                32997.9998                7.56065194           
       0.007810                16257.0022                5.22581317           
       0.008490                 8424.4756                3.33455302           
       0.009169                3247.11309                2.04599965           
       0.009848                1282.53618                1.23651581           
       0.010527                 360.19578               0.658843086           
       0.011206                122.695466               0.363414731           
       0.011885                50.2007896               0.219995373           
       0.012564                24.8496469               0.155458764           
       0.013244                16.7365653               0.121354467           
       0.013923                12.2792619               0.105636607           
       0.014602                  9.460072              0.0853443137           
       0.015281                7.48587242              0.0781197364           
       0.015960                5.99877906              0.0691724956           
       0.016639                4.90363254              0.0584750012           
       0.017319                4.22730338              0.0534589089           
       0.017998                3.39751826              0.0465282876           
       0.018677                2.85196037              0.0439097632           
       0.019356                2.51172576              0.0404737468           
       0.020035                2.12438864              0.0350250411           
       0.020714                1.84318357              0.0330579804           
       0.021394                1.56705679              0.0286955493           
       0.022073                1.43724785              0.0288090672           
       0.022752                1.26402657              0.0255313301           
       0.023431                1.12517196              0.0235468811           
       0.024110                1.00762529              0.0232879756           
       0.024789               0.901007306              0.0205308271           
       0.025469                0.83069731              0.0201875823           
       0.026148               0.703787216              0.0175969841           
       0.026827               0.670679327              0.0173161032           
       0.027506               0.622236594              0.0172445964           
       0.028185               0.518983546              0.0150812211           
       0.028864               0.528397116              0.0150111612           
       0.029544               0.466869189              0.0138208421           
       0.030223               0.409353509              0.0133676398           
       0.030902               0.410804361              0.0138341405           
       0.031581               0.380654804              0.0124797238           
       0.032260               0.363320924              0.0127195091           
       0.032939               0.318781025              0.0119383983           
       0.033619               0.282239927              0.0116393797           
       0.034298                0.27461895              0.0111256447           
       0.034977               0.246438989              0.0104547375           
       0.035656               0.228006973              0.0105533536           
       0.036335               0.226683965              0.0102551437           
       0.037014               0.204406015              0.0102673624           
       0.037693               0.204892289              0.0100041953           
       0.038373                0.17348665              0.0096168903           
       0.039052               0.167551573             0.00929585545           
       0.039731               0.152844796             0.00918253615           
       0.040410               0.147857886             0.00903151559           
       0.041089               0.135614951             0.00904029083           
       0.041768               0.122279499             0.00903777302           
       0.042448               0.124107843             0.00846620456           
       0.043127               0.131823624             0.00911341623           
       0.043806               0.125220399             0.00925810497           
       0.044485               0.121626919             0.00875390321           
       0.045164               0.115084152             0.00901575968           
       0.045843               0.109043669             0.00810656703           
       0.046523              0.0975848601             0.00788612157           
       0.047202                0.11519729             0.00899167819           
       0.047881               0.102060532             0.00838427128           
       0.048560               0.108754444             0.00879248884           
       0.049239               0.112363756             0.00848676268           
       0.049918              0.0947060895             0.00875552078           
       0.050598              0.0836306649             0.00773519973           
       0.051277              0.0979876974             0.00813991423           
       0.051956              0.0767475992              0.0079995202           
       0.052635              0.0741998881             0.00804930776           
       0.053314              0.0781981159             0.00781473227           
       0.053993              0.0930702769             0.00891036282           
       0.054673              0.0681220498             0.00734586404           
       0.055352              0.0870047458             0.00878579428           
       0.056031               0.077315662             0.00824924983           
       0.056710                0.09421249             0.00910618367           
