################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      2105344
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               512
# Dim_2                               1028
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                2105344
# Center_1                            304.9000
# Center_2                            588.7000
# Comment                             Xenocs_Cell_Window - front_window_open_only
# DDummy                              0.6
# Date                                2025-10-17T18:14:55
# Delta                               21.910000
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               15.360000
# Intensity1                          1.00079e-09
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0481358
# SampleDistance                      0.115750
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.429
# beamx_dial                          588.429
# beamz                               657.855
# beamz_dial                          657.855
# det0x                               -0.000396875
# det0x_dial                          6.36905
# det0xvd                             -0.0005
# det0xvd_dial                        -0.0005
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.2295
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7238
# waxsh                               137.085
# waxsh_dial                          -43.5335
# waxsth                              26.0607
# waxsth_dial                         -19.4068
# waxsz                               67.0407
# waxsz_dial                          -23.7962
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         6807993
# DetectorModel                       Dectris EIGER2 Si 500K, S/N E-01-0554
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.60284e+08
# TransmittedFlux                     1.00079e+06
# det                                 0
# mon                                 0
# pilai0                              3.60284e+08
# pilai1                              779649
# pilct0                              6.1732e+08
# pilct1                              779649
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251017__1_00001.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['20251017__1_00233_mask.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.690460           -2.02942617e-05                         0           
       0.693100             0.00846637575             0.00358566684           
       0.695741             0.00206561348             0.00149627636           
       0.698381             0.00457720941              0.0020832138           
       0.701021             0.00734533747             0.00215379416           
       0.703662             0.00522617378             0.00168163826           
       0.706302             0.00741729828             0.00193481471           
       0.708942             0.00465757276             0.00136188445           
       0.711583             0.00588156064             0.00153012594           
       0.714223             0.00501631414             0.00123139525           
       0.716864             0.00923486367             0.00170495164           
       0.719504             0.00659997424             0.00133396614           
       0.722144             0.00393472659            0.000994756212           
       0.724785             0.00505266503             0.00110877274           
       0.727425             0.00681127668             0.00119408271           
       0.730065             0.00547622337             0.00110167194           
       0.732706             0.00517065947            0.000962636946           
       0.735346             0.00555556285             0.00107781923           
       0.737987             0.00637031999            0.000998965442           
       0.740627             0.00635368768             0.00109292553           
       0.743267             0.00605905267            0.000918048298           
       0.745908             0.00715045214             0.00106884092           
       0.748548             0.00633700314            0.000938465876           
       0.751189             0.00647027631            0.000939348967           
       0.753829             0.00506998834            0.000839013856           
       0.756469             0.00658100361            0.000899066361           
       0.759110             0.00559535368            0.000857478124           
       0.761750             0.00644335247            0.000842138264           
       0.764390              0.0065411096            0.000910820795           
       0.767031              0.0069143051            0.000847372463           
       0.769671             0.00462631677            0.000735092375           
       0.772312             0.00594928359            0.000759631199           
       0.774952             0.00714254701            0.000892304996           
       0.777592             0.00732882741            0.000826721244           
       0.780233             0.00656515761            0.000824880959           
       0.782873             0.00644906306            0.000747611178           
       0.785513             0.00642376494            0.000793718849           
       0.788154             0.00648648463            0.000732591036           
       0.790794             0.00642808086            0.000754789527           
       0.793435             0.00659064976            0.000734078068           
       0.796075             0.00714557268             0.00076839608           
       0.798715             0.00596967553            0.000698321762           
       0.801356             0.00535998491            0.000643993027           
       0.803996             0.00667713305            0.000730263811           
       0.806637             0.00673633376            0.000693345468           
       0.809277             0.00552115616             0.00065667773           
       0.811917             0.00618451864            0.000657680194           
       0.814558             0.00628498156            0.000679201395           
       0.817198             0.00684294023            0.000675754611           
       0.819838             0.00790119812            0.000757430873           
       0.822479             0.00644810489            0.000630570092           
       0.825119             0.00650991991            0.000680633438           
       0.827760             0.00711170555            0.000659182837           
       0.830400             0.00640664742            0.000659206011           
       0.833040             0.00616583067            0.000603553516           
       0.835681             0.00616977483            0.000632251337           
       0.838321             0.00596991976            0.000582112031           
       0.840961             0.00690504607             0.00065436964           
       0.843602             0.00668135302            0.000606323882           
       0.846242             0.00638064161            0.000613442098           
       0.848883             0.00655270629            0.000604733917           
       0.851523             0.00592268657            0.000579236531           
       0.854163             0.00599741603            0.000576107639           
       0.856804             0.00539226004            0.000532292084           
       0.859444             0.00630613496            0.000579772429           
       0.862085             0.00659273301            0.000584177543           
       0.864725             0.00541197128            0.000527342135           
       0.867365             0.00701298354            0.000595997948           
       0.870006             0.00637638511            0.000576232943           
       0.872646             0.00714400801            0.000583387768           
       0.875286             0.00638018745            0.000570104332           
       0.877927              0.0055571016            0.000509426938           
       0.880567             0.00564981882            0.000523693825           
       0.883208              0.0067387614            0.000555422036           
       0.885848             0.00723966172            0.000590624298           
       0.888488             0.00711809855             0.00055684287           
       0.891129             0.00626990383            0.000549360832           
       0.893769             0.00653996322            0.000530347946           
       0.896410             0.00704554356            0.000567422205           
       0.899050             0.00701732322            0.000546009359           
