################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      2105344
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               512
# Dim_2                               1028
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                2105344
# Center_1                            304.9000
# Center_2                            588.7000
# Comment                             Xenocs_Cell_Window - front_window_open_only
# DDummy                              0.6
# Date                                2025-10-18T05:40:55
# Delta                               21.910000
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               15.360000
# Intensity1                          9.18887e-10
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0339556
# SampleDistance                      0.115750
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.429
# beamx_dial                          588.429
# beamz                               657.855
# beamz_dial                          657.855
# det0x                               -0.000396875
# det0x_dial                          6.36905
# det0xvd                             -0.0005
# det0xvd_dial                        -0.0005
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.2295
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7238
# waxsh                               137.085
# waxsh_dial                          -43.5335
# waxsth                              26.0607
# waxsth_dial                         -19.4068
# waxsz                               67.0407
# waxsz_dial                          -23.7962
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         6807993
# DetectorModel                       Dectris EIGER2 Si 500K, S/N E-01-0554
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.30799e+08
# TransmittedFlux                     918887
# det                                 0
# mon                                 0
# pilai0                              3.30799e+08
# pilai1                              711278
# pilct0                              5.71315e+08
# pilct1                              711278
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251017__1_00105.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['20251017__1_00233_mask.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.690460              0.0150328669              0.0111530783           
       0.693100             0.00612665042             0.00318326753           
       0.695741               0.003346555              0.0019875895           
       0.698381             0.00598283791             0.00248557857           
       0.701021             0.00940417842             0.00254330927           
       0.703662             0.00800541197             0.00217206553           
       0.706302             0.00481708579             0.00162723068           
       0.708942             0.00639019247             0.00166478376           
       0.711583             0.00550164964              0.0015444284           
       0.714223             0.00256858121            0.000919585656           
       0.716864             0.00708192238             0.00155816278           
       0.719504             0.00435355387             0.00113067053           
       0.722144             0.00594012093             0.00127554988           
       0.724785             0.00552648796             0.00121017262           
       0.727425             0.00497673319             0.00106520392           
       0.730065             0.00640265199             0.00124317447           
       0.732706             0.00404383079            0.000888436658           
       0.735346             0.00698204328             0.00126099565           
       0.737987             0.00694309849             0.00108839598           
       0.740627             0.00425585816            0.000933494226           
       0.743267             0.00523343411            0.000890424234           
       0.745908              0.0057239426            0.000998008817           
       0.748548              0.0064468826            0.000987851879           
       0.751189             0.00647518586            0.000980690781           
       0.753829             0.00617981892            0.000966704973           
       0.756469             0.00544334218            0.000853333759           
       0.759110             0.00637040505            0.000954845764           
       0.761750             0.00690125702            0.000909561318           
       0.764390              0.0069213749            0.000977786048           
       0.767031             0.00594177132            0.000819782171           
       0.769671             0.00757418964            0.000981595926           
       0.772312             0.00703517563            0.000862081557           
       0.774952             0.00743523745            0.000950111592           
       0.777592             0.00647094797            0.000810711305           
       0.780233             0.00593186187            0.000818285093           
       0.782873             0.00770291324            0.000852698311           
       0.785513              0.0060660004            0.000804940011           
       0.788154             0.00708480585            0.000799026725           
       0.790794             0.00575579569            0.000745380985           
       0.793435             0.00600852648            0.000731480153           
       0.796075             0.00670199169            0.000776620746           
       0.798715             0.00617453011            0.000741178128           
       0.801356             0.00710576782            0.000773829555           
       0.803996             0.00813458293            0.000841187547           
       0.806637             0.00546784978            0.000651908427           
       0.809277             0.00576456783             0.00070026283           
       0.811917             0.00773048086            0.000767371193           
       0.814558             0.00548244012            0.000662024312           
       0.817198             0.00787014634            0.000756309356           
       0.819838             0.00690642535            0.000739032629           
       0.822479             0.00613783853            0.000642045011           
       0.825119             0.00686338604            0.000729348505           
       0.827760             0.00622800538            0.000643774725           
       0.830400             0.00712558941            0.000725531994           
       0.833040             0.00588391906            0.000615309694           
       0.835681             0.00566308556            0.000632152829           
       0.838321             0.00621000495            0.000619596173           
       0.840961             0.00650938373            0.000663056006           
       0.843602              0.0057150004             0.00058522251           
       0.846242             0.00740365549            0.000689612184           
       0.848883             0.00689121574            0.000647205686           
       0.851523             0.00631550472            0.000624224809           
       0.854163             0.00688057497            0.000643982901           
       0.856804             0.00665533976             0.00061714915           
       0.859444              0.0066409915            0.000620915949           
       0.862085             0.00577973422            0.000570829583           
       0.864725              0.0063973156            0.000598348277           
       0.867365             0.00631584028            0.000590268149           
       0.870006             0.00823716699            0.000683502605           
       0.872646             0.00737565437            0.000618624415           
       0.875286             0.00683582601            0.000615848017           
       0.877927             0.00717906336            0.000604271422           
       0.880567             0.00616311344            0.000570821995           
       0.883208             0.00659024071             0.00057322369           
       0.885848             0.00585322252            0.000554230109           
       0.888488             0.00693555724            0.000573629886           
       0.891129             0.00666363796            0.000591048847           
       0.893769             0.00747138351            0.000591580946           
       0.896410             0.00669601122            0.000577294721           
       0.899050             0.00681236954            0.000561440672           
