################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      4366944
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               1028
# Dim_2                               1062
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                4366944
# Center_1                            607.5200
# Center_2                            651.5500
# Comment                             Xenocs_Cell_Window - Background_Al-foil
# DDummy                              0.6
# Date                                2025-10-28T10:43:45
# Delta                               0
# Dummy                               -1.5
# ExposureTime                        1800
# Gamma                               0
# Intensity1                          2.79746e-09
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0369759
# SampleDistance                      0.450002
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.434
# beamx_dial                          588.434
# beamz                               657.808
# beamz_dial                          657.808
# det0x                               0
# det0x_dial                          6.36945
# det0xvd                             0
# det0xvd_dial                        0
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.23302
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7355
# waxsh                               137.085
# waxsh_dial                          -43.5338
# waxsth                              26.0607
# waxsth_dial                         -19.4086
# waxsz                               67.0407
# waxsz_dial                          -23.7954
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         15302352
# DetectorModel                       Dectris EIGER2 Si 1M, S/N E-02-0362
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.013356
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    5.03543e+09
# TransmittedFlux                     2.79746e+06
# det                                 0
# mon                                 0
# pilai0                              5.03543e+09
# pilai1                              1.08194e+07
# pilct0                              8.63928e+09
# pilct1                              1.08194e+07
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251028_background_Alfoil_final_0_00000.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['20251028_background_Alfoil_final_0_00000_mask.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.000340                 363308.79                29.4247185           
       0.001019                352730.946                17.7546369           
       0.001698                345773.609                12.4299955           
       0.002377                331177.376                10.8805393           
       0.003056                309528.241                8.89009264           
       0.003735                 255479.31                7.12298237           
       0.004415                204901.329                6.37905715           
       0.005094                152047.077                4.75887061           
       0.005773                99046.2636                3.55599108           
       0.006452                56806.9274                2.58030789           
       0.007131                31168.3698                1.85155382           
       0.007810                15433.3001                1.29298534           
       0.008490                7679.93621               0.808491665           
       0.009169                3614.17061                0.54814029           
       0.009848                1025.58948               0.282312266           
       0.010527                363.445654               0.168059463           
       0.011206                66.8578519              0.0687943784           
       0.011885                23.2625354              0.0377027764           
       0.012564                5.85932118              0.0194267535           
       0.013244                3.42100198              0.0138775632           
       0.013923                2.42880409               0.011881806           
       0.014602                 1.8275301             0.00955880072           
       0.015281                1.45503656             0.00868234353           
       0.015960                1.19613542             0.00781566826           
       0.016639                1.01770162             0.00680770605           
       0.017319               0.848885485             0.00612079582           
       0.017998               0.713743999             0.00536940221           
       0.018677               0.615975079             0.00516632142           
       0.019356               0.539060909             0.00477548929           
       0.020035               0.469067913             0.00417936284           
       0.020714               0.417812048             0.00398616185           
       0.021394               0.367215216             0.00353585654           
       0.022073                 0.3333278             0.00350493066           
       0.022752               0.294598818             0.00315204702           
       0.023431               0.268518924             0.00292106978           
       0.024110               0.244395876             0.00290541469           
       0.024789               0.226756037             0.00259908701           
       0.025469               0.204953329             0.00254636671           
       0.026148               0.189204246             0.00229876107           
       0.026827               0.171494931             0.00222356024           
       0.027506               0.159502766             0.00217533122           
       0.028185               0.143863951             0.00197016949           
       0.028864               0.133470563             0.00188702064           
       0.029544               0.127737092             0.00179014487           
       0.030223               0.121233559              0.0017689862           
       0.030902               0.113343515             0.00172610649           
       0.031581               0.107888567             0.00160088076           
       0.032260               0.102897277             0.00159005014           
       0.032939              0.0974027578             0.00149165951           
       0.033619               0.094230273             0.00148872871           
       0.034298              0.0836564178             0.00136507072           
       0.034977              0.0832182135             0.00133473464           
       0.035656              0.0822705785             0.00136223664           
       0.036335              0.0777299487             0.00128422196           
       0.037014              0.0691881954             0.00121522143           
       0.037693              0.0676481215             0.00115594299           
       0.038373              0.0650453303             0.00114461053           
       0.039052              0.0643312079              0.0011431531           
       0.039731              0.0624481246             0.00110005001           
       0.040410              0.0586494481             0.00106176274           
       0.041089              0.0581949068             0.00104921543           
       0.041768              0.0524350368             0.00100394172           
       0.042448              0.0518106256             0.00099130899           
       0.043127              0.0513107752            0.000963778376           
       0.043806              0.0492560931             0.00095154161           
       0.044485              0.0492093689            0.000932116444           
       0.045164              0.0485635839            0.000944834029           
       0.045843              0.0458512568             0.00087832923           
       0.046523              0.0478292556            0.000900260111           
       0.047202              0.0456304926            0.000884582252           
       0.047881              0.0436946187            0.000847518664           
       0.048560              0.0444014915            0.000859301847           
       0.049239              0.0412704372            0.000789898832           
       0.049918              0.0419499281            0.000811086223           
       0.050598              0.0403643648            0.000783673768           
       0.051277              0.0393137788            0.000770953801           
       0.051956              0.0377811606            0.000751030879           
       0.052635               0.036589465            0.000723406387           
       0.053314              0.0365246571            0.000743896955           
       0.053993              0.0355921655            0.000714198689           
       0.054673              0.0350240473            0.000692694111           
       0.055352              0.0355159095            0.000707786956           
       0.056031              0.0331776314            0.000669717127           
       0.056710              0.0337499281            0.000692020879           
       0.057389              0.0326048843            0.000654698639           
       0.058068              0.0331306091            0.000662397887           
       0.058748              0.0324475746            0.000658592666           
       0.059427              0.0301304671            0.000623666296           
       0.060106               0.029580933            0.000623608884           
